	あっ	a	Ah!;Oh!
友	とも	tomo	friend;companion;pal
共に	ともに	tomoni	sharing with;participate in
土曜	どよう	doyou	Saturday
虎	とら	tora	tiger
	ドライブ	doraibu	drive;trip by car;driving
	トラック	torakku	(1) truck;(2) (running) track
	ドラマ	dorama	drama
	トランプ	toranpu	playing cards (lit; trump)
取り上げる	とりあげる	toriageru	to take up;to pick up;to disqualify;to confiscate;to deprive
努力	どりょく	doryoku	great effort;exertion;endeavour;effort
どれ	どれ	dore	well;now;let me see;which (of three or more)
	ドレス	doresu	dress
取れる	とれる	toreru	to come off;to be taken off;to be removed
泥	どろ	doro	mud
	とん	ton	ton
	とんでもない	tondemonai	unexpected;offensive;What a thing to say!;No way!
	どんな	donna	what;what kind of
	どんなに	donnani	how;how much
	トンネル	tonneru	tunnel
名	な	na	name;reputation
内容	ないよう	naiyou	subject;contents;matter;substance;detail;import
	なお	nao	straight;mischief;ordinary;common
仲	なか	naka	relation;relationship
流す	ながす	nagasu	to drain;to float;to shed (blood; tears);to cruise (e.g. taxi)
	なかなか	nakanaka	very;considerably;easily
半ば	なかば	nakaba	middle;half;semi;halfway;partly
仲間	なかま	nakama	company;fellow;colleague;associate
眺め	ながめ	nagame	scene;view;prospect;outlook
眺める	ながめる	nagameru	to view;to gaze at
流れ	ながれ	nagare	stream;current
流れる	ながれる	nagareru	to stream;to flow;to run (ink);to be washed away
無し	なし	nashi	without
	なぜなら	nazenara	because
謎	なぞ	nazo	riddle;puzzle;enigma
納得	なっとく	nattoku	consent;assent;understanding
等	など	nado	et cetera;etc.;and the like
何か	なにか	nanika	something
	なにも	nanimo	nothing
鍋	なべ	nabe	saucepan;pot
生	なま	nama	(1) draft (beer);(2) raw;unprocessed
怠ける	なまける	namakeru	to be idle;to neglect
波	なみ	nami	wave
涙	なみだ	namida	tear
悩む	なやむ	nayamu	to be worried;to be troubled
為る/成る	なる	naru	to become
縄	なわ	nawa	rope;hemp
何で	なんで	nande	Why?;What for?
何でも	なんでも	nandemo	by all means;everything
何とか	なんとか	nantoka	somehow;anyhow;one way or another
似合う	にあう	niau	to suit;to match;to become;to be like
匂い	におい	nioi	odour;scent;smell;stench
苦手	にがて	nigate	poor (at);weak (in);dislike (of)
握る	にぎる	nigiru	to grasp;to seize;to mould sushi
日	にち	nichi	sun;sunshine;day
日常	にちじょう	nichijou	ordinary;regular;everyday;usual
日曜	にちよう	nichiyou	Sunday
日光	にっこう	nikkou	sunlight
日中	にっちゅう	nicchuu	daytime;broad daylight
	にっこり	nikkori	smile sweetly;smile;grin
入院	にゅういん	nyuuin	hospitalization
入学	にゅうがく	nyuugaku	entry to school or university;matriculation
入場	にゅうじょう	nyuujou	entrance;admission;entering
人気	にんき	ninki	sign of life
人間	にんげん	ningen	human being;man;person
抜く	ぬく	nuku	to extract;to omit;to surpass;to draw out;to unplug
抜ける	ぬける	nukeru	to come out;to fall out;to be omitted
布	ぬの	nuno	cloth
濡れる	ぬれる	nureru	to get wet
	ね	ne	value;price;cost;worth;merit
根	ね	ne	root
値	ね	ne	value;price;cost
願い	ねがい	negai	desire;wish;request
願う	ねがう	negau	to desire;to wish;to request
鼠	ねずみ	nezumi	(1) mouse;rat;(2) dark gray;slate color
値段	ねだん	nedan	price;cost
熱心	ねっしん	nesshin	zeal;enthusiasm
熱帯	ねったい	nettai	tropics
熱中	ねっちゅう	necchuu	nuts!;enthusiasm;zeal;mania
年間	ねんかん	nenkan	year
年月	ねんげつ	nengetsu	months and years
年中	ねんじゅう	nenjuu	whole year;always;everyday
年代	ねんだい	nendai	age;era;period;date
年齢	ねんれい	nenrei	age;years
野	の	no	field
能	のう	nou	being skilled in;nicely;properly
農家	のうか	nouka	farmer;farm family
農業	のうぎょう	nougyou	agriculture
農民	のうみん	noumin	farmers;peasants
能力	のうりょく	nouryoku	ability;faculty
	ノー	no	no
軒	のき	noki	eaves
残す	のこす	nokosu	to leave (behind; over);to bequeath;to save;to reserve
残り	のこり	nokori	remnant;residue;remaining;left-over
乗せる	のせる	noseru	to place on (something);to take on board;to give a ride
除く	のぞく	nozoku	to remove;to exclude;to except
望み	のぞみ	nozomi	wish;desire;(a) hope
望む	のぞむ	nozomu	to desire;to wish for;to see;to command (a view of)
後	のち	nochi	afterwards;since then;in the future
	ノック	nokku	(1) knock;(2) fungo (baseball)
喉	のど	nodo	throat
伸ばす	のばす	nobasu	to lengthen;to stretch;to reach out;to grow (beard)
伸びる	のびる	nobiru	to stretch;to extend;to make progress;to grow (beard; body height)
述べる	のべる	noberu	to state;to express;to mention
昇る	のぼる	noboru	to arise;to ascend;to go up
	のんびり	nonbiri	carefree;at leisure
場	ば	ba	place;field (physics)
	はあ	haa	interjection “aa”
	パーセント	paasento	percent
	はい	hai	wear;put on (sword)
灰	はい	hai	ash
梅雨	ばいう	baiu	rainy season;rain during the rainy season
	バイオリン	baiorin	violin
	ハイキング	haikingu	hiking
配達	はいたつ	haitatsu	delivery;distribution
	パイプ	paipu	(1) pipe;tube;(2) channels; official or otherwise
俳優	はいゆう	haiyuu	actor;actress;player;performer
	パイロット	pairotto	pilot
墓	はか	haka	grave;tomb
馬鹿	ばか	baka	fool;idiot;trivial matter;folly
博士	はかせ	hakase	doctorate;PhD
計る	はかる	hakaru	to measure;to weigh;to survey
履く	はく	haku	to wear;to put on (lower body)
吐く	はく	haku	(1) to breathe;(2) to tell (lies);(3) to vomit;to disgorge
拍手	はくしゅ	hakushu	clapping hands;applause
莫大	ばくだい	bakudai	enormous;vast
爆発	ばくはつ	bakuhatsu	explosion;detonation;eruption
博物館	はくぶつかん	hakubutsukan	museum
激しい	はげしい	hageshii	violent;vehement;intense
	はさみ	hasami	scissors
破産	はさん	hasan	(personal) bankruptcy
端	はし	hashi	end (e.g. of street);edge;tip;margin;point
始まり	はじまり	hajimari	origin;beginning
	パス	pasu	path;pass (in games)
外す	はずす	hazusu	to unfasten;to remove
	パスポート	pasupooto	passport
旗	はた	hata	flag
肌	はだ	hada	skin
裸	はだか	hadaka	naked;nude
畑	はたけ	hatake	field
二十	はたち	hatachi	20 years old;20th year
働き	はたらき	hataraki	work;labor
	バッグ	baggu	bag;bug
発見	はっけん	hakken	discovery;detection;finding
発行	はっこう	hakkou	issue (publications)
発車	はっしゃ	hassha	departure of a vehicle
罰する	ばっする	bassuru	to punish;to penalize
発達	はったつ	hattatsu	development;growth
	ばったり	battari	with a clash (thud);with a bang;plump;flop
発展	はってん	hatten	development;growth
発表	はっぴょう	happyou	announcement;publication
発明	はつめい	hatsumei	invention
話し合う	はなしあう	hanashiau	to discuss;to talk together
離す	はなす	hanasu	to part;divide;separate
放す	はなす	hanasu	to separate;to set free
離れる	はなれる	hanareru	to be separated from;to leave;to go away;to be a long way off
羽	はね	hane	counter for birds;counter for rabbits
幅	はば	haba	width;breadth
母親	ははおや	hahaoya	mother
省く	はぶく	habuku	to omit;to eliminate;to curtail;to economize
場面	ばめん	bamen	scene;setting (e.g. of novel)
腹	はら	hara	abdomen;belly;stomach
原	はら	hara	field;plain;prairie;tundra;moor;wilderness
針	はり	hari	needle;hand (e.g. clock)
張る	はる	haru	to stick;to paste
番	ばん	ban	number
	バン	ban	bun;van (caravan);VAN (value-added network)
範囲	はんい	hani	extent;scope;sphere;range
反抗	はんこう	hankou	opposition;resistance
犯罪	はんざい	hanzai	crime
	ハンサム	hansamu	handsome
判断	はんだん	handan	judgement;decision
犯人	はんにん	hannin	offender;criminal
販売	はんばい	hanbai	sale;selling;marketing
灯	ひ	hi	light
	ビール	biiru	beer
被害	ひがい	higai	damage
比較	ひかく	hikaku	comparison
轢く	ひく	hiku	to run somebody over (with vehicle);to knock someone down
	ピクニック	pikunikku	picnic
悲劇	ひげき	higeki	tragedy
飛行	ひこう	hikou	aviation
膝	ひざ	hiza	knee;lap
非常	ひじょう	hijou	emergency;extraordinary;unusual
美人	びじん	bijin	beautiful person (woman)
額	ひたい	hitai	forehead;brow
	びっくり	bikkuri	be surprised;be amazed;be frightened;astonishment
日付	ひづけ	hizuke	date;dating
必死	ひっし	hisshi	inevitable death;desperation;frantic;inevitable result
	ぴったり	pittari	exactly;neatly;sharp
引っ張る	ひっぱる	hipparu	(1) to pull;to draw;to stretch;to drag;(2) to pull the ball (baseball)
否定	ひてい	hitei	negation;denial;repudiation
	ビデオ	bideo	video
一言	ひとこと	hitokoto	single word
人込み	ひとごみ	hitogomi	crowd of people
等しい	ひとしい	hitoshii	equal
独り	ひとり	hitori	alone;unmarried
一人一人	ひとりひとり	hitorihitori	one by one;each;one at a time
批判	ひはん	hihan	criticism;judgement;comment
批評	ひひょう	hihyou	criticism;review;commentary
秘密	ひみつ	himitsu	secret;secrecy
微妙	びみょう	bimyou	delicate;subtle
紐	ひも	himo	(1) string;cord;(2) pimp
費用	ひよう	hiyou	cost;expense
表	ひょう	hyou	table (e.g. Tab 1);chart;list
秒	びょう	byou	second (60th min)
評価	ひょうか	hyouka	valuation;estimation;assessment;evaluation
表現	ひょうげん	hyougen	expression;presentation;representation (math)
表情	ひょうじょう	hyoujou	facial expression
平等	びょうどう	byoudou	equality (a);impartiality;evenness
評判	ひょうばん	hyouban	fame;reputation;popularity;arrant
表面	ひょうめん	hyoumen	surface;outside;face;appearance
広がる	ひろがる	hirogaru	to spread (out);to extend;to stretch;to reach to;to get around
瓶	びん	bin	bottle
便	びん	bin	way;means
	ピン	pin	pin
不	ふ(ぶ)	fu(bu)	un;non;negative prefix
無	ぶ	bu	nothing;naught;nil;zero
分	ぶ	bu	dividing;part
不安	ふあん	fuan	anxiety;uneasiness;insecurity;suspense
風景	ふうけい	fuukei	scenery
夫婦	ふうふ	fuufu	married couple;husband and wife
笛	ふえ	fue	flute;pipe
不可	ふか	fuka	wrong;bad;improper;unjustifiable;inadvisable
武器	ぶき	buki	weapon;arms;ordinance
服装	ふくそう	fukusou	garments
含む	ふくむ	fukumu	to hold in the mouth;to bear in mind
袋	ふくろ	fukuro	bag;sack
不幸	ふこう	fukou	unhappiness;sorrow;misfortune;disaster;accident;death
節	ふし	fushi	tune;tone;knot;knob;point
無事	ぶじ	buji	safety;peace;quietness
不思議	ふしぎ	fushigi	mystery;curiosity
不自由	ふじゆう	fujiyuu	discomfort;disability;inconvenience;destitution
夫人	ふじん	fujin	wife;Mrs;madam
婦人	ふじん	fujin	woman;female
不正	ふせい	fusei	injustice;unfairness
防ぐ	ふせぐ	fusegu	to defend (against);to protect;to prevent
不足	ふそく	fusoku	insufficiency;shortage;deficiency;lack;dearth
舞台	ぶたい	butai	stage (theatre)
双子	ふたご	futago	twins;a twin
再び	ふたたび	futatabi	again;once more;a second time
普段	ふだん	fudan	usually;habitually;ordinarily;always
縁	ふち	fuchi	a means; e.g. of living
打つ	ぶつ	butsu	to hit;to strike
物価	ぶっか	bukka	prices of commodities;prices (in general)
物質	ぶっしつ	busshitsu	material;substance
物理	ぶつり	butsuri	physics
筆	ふで	fude	writing brush
	ふと	futo	suddenly;casually;accidentally;incidentally;unexpectedly;unintentionally
船	ふね	fune	ship;boat;watercraft;shipping;vessel;steamship
部分	ぶぶん	bubun	portion;section;part
不平	ふへい	fuhei	complaint;discontent;dissatisfaction
不満	ふまん	fuman	dissatisfaction;displeasure;discontent;complaints;unhappiness
	プラス	purasu	plus
	プラン	puran	plan
不利	ふり	furi	disadvantage;handicap;unfavorable;drawback
振る	ふる	furu	(1) to wave;to shake;to swing;(2) to sprinkle;(3) to cast (actor);to allocate (work)
震える	ふるえる	furueru	to shiver;to shake;to quake
	ブレーキ	bureeki	a brake
触れる	ふれる	fureru	to touch;to be touched;to touch on a subject;to feel;to violate (law; copyright; etc.);to perceive;t
風呂	ふろ	furo	bath
	プロ	puro	professional
分	ぶん	bun	dividing;part;segment
文	ぶん	bun	sentence
雰囲気	ふんいき	funiki	atmosphere (e.g. musical);mood;ambience
分析	ぶんせき	bunseki	analysis
文明	ぶんめい	bunmei	civilization;culture
分野	ぶんや	bunya	field;sphere;realm;division;branch
塀	へい	hei	wall;fence
平均	へいきん	heikin	equilibrium;balance;average;mean
平和	へいわ	heiwa	peace;harmony
別に	べつに	betsuni	(not) particularly;nothing
減らす	へらす	herasu	to abate;to decrease;to diminish;to shorten
減る	へる	heru	to decrease (in size or number);to diminish;to abate
	ベルト	beruto	Belt for western clothes
変化	へんか	henka	goblin;ghost;apparition;bugbear
	ペンキ	penki	(n) paint (nl; pek)
勉強	べんきょう	benkyou	study;diligence;discount;reduction
変更	へんこう	henkou	change;modification;alteration
	ベンチ	benchi	bench
方	ほう	hou	side
法	ほう	hou	Act (law; the X Act)
棒	ぼう	bou	pole;rod;stick
冒険	ぼうけん	bouken	risk;venture;adventure
方向	ほうこう	houkou	direction;course;way
報告	ほうこく	houkoku	report;information
宝石	ほうせき	houseki	gem;jewel
放送	ほうそう	housou	broadcast;broadcasting
豊富	ほうふ	houfu	abundance;wealth;plenty;bounty
方法	ほうほう	houhou	method;manner;way;means;technique
方々	ほうぼう	houbou	persons;this and that;here and there;everywhere
訪問	ほうもん	houmon	call;visit
吠える	ほえる	hoeru	to bark;to bay;to howl;to bellow;to roar;to cry
	ボーイ	booi	boy
	ボート	booto	rowing boat
	ホーム	hoomu	(1) platform;(2) home
	ボール	booru	ball;bowl
他	ほか	hoka	other (esp. places and things)
外	ほか	hoka	other place;the rest
誇り	ほこり	hokori	pride
埃	ほこり	hokori	dust
保証	ほしょう	hoshou	guarantee;security;assurance;pledge;warranty
保存	ほぞん	hozon	preservation;conservation;storage;maintenance
程	ほど	hodo	degree;extent;bounds;limit
歩道	ほどう	hodou	footpath;walkway;sidewalk
仏	ほとけ	hotoke	Buddha;merciful person;Buddhist image;the dead
骨	ほね	hone	bone
炎	ほのお	honoo	flame
頬	ほほ(ほお)	hoho(hoo)	cheek (of face)
	ほぼ	hobo	almost;roughly;approximately
微笑む	ほほえむ	hohoemu	to smile
褒める	ほめる	homeru	to praise;to admire;to speak well
濠	ほり	hori	moat
本当	ほんと(ほんとう)	honto(hontou)	truth;reality
本人	ほんにん	honnin	the person himself
本物	ほんもの	honmono	genuine article
	ぼんやり	bonyari	absent-minded;block-head;dim;faint;vague
間	ま	ma	space;room;time;pause
	まあ	maa	(female) you might say
	マーケット	maaketto	market
	マイク	maiku	mike
迷子	まいご	maigo	lost (stray) child
任せる	まかせる	makaseru	to entrust to another;to leave to
幕	まく	maku	curtain;bunting;act (in play)
負け	まけ	make	defeat;loss;losing (a game)
孫	まご	mago	grandchild
	まさか	masaka	by no means
	まさに	masani	correctly;surely
真面目	まじめ	majime	diligent;serious;honest
増す	ます	masu	to increase;to grow
先ず	まず	mazu	first (of all);to start with;about;almost;hardly (with neg. verb)
貧しい	まずしい	mazushii	poor;needy
	マスター	masutaa	proprietor;manager;barowner;master (e.g. arts; science)
	ますます	masumasu	increasingly;more and more
又	また	mata	again;and
未だ	まだ	mada	yet;still;more;besides
街	まち	machi	(1) town;(2) street;road
間違い	まちがい	machigai	mistake
松	まつ	matsu	(1) pine tree;(2) highest (of a three-tier ranking system)
真っ赤	まっか	makka	deep red;flushed (of face)
真っ直ぐ	まっすぐ	massugu	straight (ahead);direct;upright
全く	まったく	mattaku	really;truly;entirely;completely
祭	まつり	matsuri	festival;feast
学ぶ	まなぶ	manabu	to study (in depth);to learn;to take lessons in
真似	まね	mane	mimicry;imitation;behavior;pretense
招く	まねく	maneku	to invite
	ママ	mama	Mama
豆	まめ	mame	beans;peas
守る	まもる	mamoru	to protect;to obey;to guard;to abide (by the rules)
丸	まる	maru	circle;full (month);perfection;purity;suffix for ship names
円	まる	maru	circle;money
丸い	まるい	marui	round;circular;spherical
	まるで	marude	quite;entirely;completely
回す	まわす	mawasu	to turn;to revolve
回り	まわり	mawari	circumference;surroundings;circulation
万一	まんいち	manichi	by some chance;by some possibility;if by any chance;10^E4
満足	まんぞく	manzoku	satisfaction
身	み	mi	body;main part;oneself;sword
実	み	mi	fruit;nut;seed;content;good result
見送り	みおくり	miokuri	seeing one off;farewell;escort
味方	みかた	mikata	friend;ally;supporter
見事	みごと	migoto	splendid;magnificent;beautiful;admirable
	ミス	misu	miss (mistake; error; failure);Miss
満ちる	みちる	michiru	to be full;to rise (tide);to mature;to expire
密	みつ	mitsu	secret
認める	みとめる	mitomeru	to recognize;to appreciate;to approve;to admit;to notice
皆	みんな	minna	all;everyone;everybody
見舞い	みまい	mimai	enquiry;expression of sympathy;expression of concern
土産	みやげ	miyage	present;souvenir
都	みやこ	miyako	capital
妙	みょう	myou	strange;unusual
明後日	みょうごにち	myougonichi	day after tomorrow
未来	みらい	mirai	future (life; tense)
魅力	みりょく	miryoku	charm;fascination;glamour
	ミルク	miruku	milk
無	む	mu	nothing;naught;nil;zero
向かい	むかい	mukai	facing;opposite;across the street;other side
迎え	むかえ	mukae	meeting;person sent to pick up an arrival
向く	むく	muku	to face
向ける	むける	mukeru	to turn towards;to point
無視	むし	mushi	disregard;ignore
虫歯	むしば	mushiba	cavity;tooth decay;decayed tooth;caries
寧ろ	むしろ	mushiro	rather;better;instead
結ぶ	むすぶ	musubu	to tie;to bind;to link
無駄	むだ	muda	futility;uselessness
夢中	むちゅう	muchuu	daze;(in a) trance;ecstasy;delirium;engrossment
胸	むね	mune	breast;chest
無料	むりょう	muryou	free;no charge
芽	め	me	sprout
明確	めいかく	meikaku	clear up;clarify;define
命じる	めいじる	meijiru	to order;to command;to appoint
名人	めいじん	meijin	master;expert
命令	めいれい	meirei	order;command;decree;directive;(software) instruction
迷惑	めいわく	meiwaku	trouble;bother;annoyance
飯	めし	meshi	(sl) meals;food
滅多に	めったに	mettani	rarely (with neg. verb);seldom
	メモ	memo	memorandum
面	めん	men	face;mug;surface;facial features;mask;face guard;side or facet;corner;page
綿	めん	men	cotton;padding
免許	めんきょ	menkyo	license;permit;licence;certificate
面倒	めんどう	mendou	trouble;difficulty;care;attention
	メンバー	menbaa	member
申し込む	もうしこむ	moushikomu	to apply for;to make an application
申し訳	もうしわけ	moushiwake	apology;excuse
毛布	もうふ	moufu	blanket
燃える	もえる	moeru	to burn
目的	もくてき	mokuteki	purpose;goal;aim;objective;intention
目標	もくひょう	mokuhyou	mark;objective;target
木曜	もくよう	mokuyou	Thursday
文字	もじ(もんじ)	moji(monji)	letter (of alphabet);character
	もしも	moshimo	if
持ち上げる	もちあげる	mochiageru	to raise;to lift up;to flatter
用いる	もちいる	mochiiru	to use;to make use of
勿論	もちろん	mochiron	of course;certainly;naturally
最も	もっとも	mottomo	most;extremely
尤も	もっとも	mottomo	quite right;plausible;natural;but then;although
元	もと	moto	(1) origin;original;(2) former
基	もと	moto	basis
素	もと	moto	prime
戻す	もどす	modosu	to restore;to put back;to return
基づく	もとづく	motozuku	to be grounded on;to be based on;to be due to;to originate from
求める	もとめる	motomeru	to seek;to request;to demand;to want;to wish for;to search for;to pursue (pleasure);to hunt (a job);
者	もの	mono	person
物音	ものおと	monooto	sounds
物語	ものがたり	monogatari	tale;story;legend
物事	ものごと	monogoto	things;everything
模様	もよう	moyou	pattern;figure;design
貰う	もらう	morau	to receive
文句	もんく	monku	phrase;complaint
	やがて	yagate	before long;soon;at length
役	やく	yaku	use;service;role;position
約	やく	yaku	approximately;about;some
訳	やく	yaku	meaning;reason;circumstances;can be deduced;situation
役割	やくわり	yakuwari	part;assigning (allotment of) parts;role;duties
家賃	やちん	yachin	rent
厄介	やっかい	yakkai	trouble;burden;care;bother
宿	やど	yado	inn;lodging
雇う	やとう	yatou	to employ;to hire
屋根	やね	yane	roof
	やはり	yahari	also;as I thought;still;in spite of;absolutely;of course
破る	やぶる	yaburu	to tear;to violate;to defeat;to smash;to destroy
辞める	やめる	yameru	to retire
	やや	yaya	a little;partially;somewhat;a short time;a while
唯一	ゆいいつ	yuiitsu	only;sole;unique
勇気	ゆうき	yuuki	courage;bravery;valour;nerve;boldness
有効	ゆうこう	yuukou	validity;availability;effectiveness
優秀	ゆうしゅう	yuushuu	superiority;excellence
優勝	ゆうしょう	yuushou	overall victory;championship
友情	ゆうじょう	yuujou	friendship;fellowship
友人	ゆうじん	yuujin	friend
有能	ゆうのう	yuunou	able;capable;efficient;skill
郵便	ゆうびん	yuubin	mail;postal service
夕べ	ゆうべ	yuube	evening
	ユーモア	yuumoa	humor
有利	ゆうり	yuuri	advantageous;better;profitable;lucrative
床	ゆか	yuka	floor
愉快	ゆかい	yukai	pleasant;happy
輸出	ゆしゅつ	yushutsu	export
譲る	ゆずる	yuzuru	to turn over;to assign;to hand over
豊か	ゆたか	yutaka	abundant;wealthy;plentiful;rich
	ゆっくり	yukkuri	slowly;at ease
輸入	ゆにゅう	yunyuu	importation;import;introduction
許す	ゆるす	yurusu	to permit;to allow;to approve
夜	よ	yo	evening;night
夜明け	よあけ	yoake	dawn;daybreak
様	よう	you	way;manner;kind
酔う	よう	you	to get drunk;to become intoxicated
容易	ようい	youi	easy;simple;plain
陽気	ようき	youki	season;weather;cheerfulness
要求	ようきゅう	youkyuu	request;demand;requisition
用心	ようじん	youjin	care;precaution;guarding;caution
様子	ようす	yousu	aspect;state;appearance
要するに	ようするに	yousuruni	in a word;after all;the point is ..;in short ..
要素	ようそ	youso	element
要点	ようてん	youten	gist;main point
曜日	ようび	youbi	day of the week
	ヨーロッパ	yooroppa	Europe
予期	よき	yoki	expectation;assume will happen;forecast
横切る	よこぎる	yokogiru	to cross (e.g. arms);to traverse
予算	よさん	yosan	estimate;budget
止す	よす	yosu	to cease;to abolish;to resign;to give up
予測	よそく	yosoku	prediction;estimation
	ヨット	yotto	yacht
夜中	よなか	yonaka	midnight;dead of night
世の中	よのなか	yononaka	society;the world;the times
余分	よぶん	yobun	extra;excess;surplus
予報	よほう	yohou	forecast;prediction
予防	よぼう	yobou	prevention;precaution;protection against
読み	よみ	yomi	reading
嫁	よめ	yome	bride;daughter-in-law
余裕	よゆう	yoyuu	surplus;composure;margin;room;time;allowance;scope;rope
	より	yori	twist;ply
	よると	yoruto	according to
喜び	よろこび	yorokobi	(a) joy;(a) delight;rapture;pleasure;gratification;rejoicing;congratulations;felicitations
宜しい	よろしい	yoroshii	(hon) good;OK;all right;fine;very well;will do;may;can
	よろしく	yoroshku	well;properly;suitably;best regards;please remember me
四	よん	yon	four
来	らい	rai	;for (10 days);next (year)
	ライター	raitaa	lighter;rider;writer
楽	らく	raku	comfort;ease
	ラケット	raketto	paddle;racket
利益	りえき	rieki	profits;gains;(political; economic) interest
理解	りかい	rikai	understanding;comprehension
陸	りく	riku	six (used in legal documents)
利口	りこう	rikou	clever;shrewd;bright;sharp;wise;intelligent
離婚	りこん	rikon	divorce
理想	りそう	risou	ideal
率	りつ	ritsu	rate;ratio;proportion;percentage
立派	りっぱ	rippa	splendid;fine;handsome;elegant;imposing;prominent;legal;legitimate
留学	りゅうがく	ryuugaku	studying abroad
流行	りゅうこう	ryuukou	fashionable;fad;in vogue;prevailing
量	りょう	ryou	quantity;amount;volume;portion (of food)
両替	りょうがえ	ryougae	change;money exchange
料金	りょうきん	ryoukin	fee;charge;fare
例	れい	rei	instance;example;case
礼	れい	rei	expression of gratitude
礼儀	れいぎ	reigi	manners;courtesy;etiquette
冷静	れいせい	reisei	calm;composure;coolness;serenity
列	れつ	retsu	queue;line;row
列車	れっしゃ	ressha	train (ordinary)
	レポート	repooto	report;paper
練習	れんしゅう	renshuu	practice
連想	れんそう	rensou	association (of ideas);suggestion
連続	れんぞく	renzoku	serial;consecutive;continuity;continuing
労働	ろうどう	roudou	manual labor;toil;work
	ロケット	roketto	locket;rocket
論じる	ろんじる	ronjiru	to argue;to discuss;to debate
論争	ろんそう	ronsou	controversy;dispute
論文	ろんぶん	ronbun	thesis;essay;treatise;paper
輪	わ	wa	ring;hoop;circle
	ワイン	wain	wine
	わがまま	wagamama	selfishness;egoism;wilfulness;disobedience;whim
別れ	わかれ	wakare	parting;separation;farewell
脇	わき	waki	side
分ける	わける	wakeru	to divide;to separate
	わざと	wazato	on purpose
僅か	わずか	wazuka	only;merely;a little;small quantity
綿	わた	wata	cotton;padding
話題	わだい	wadai	topic;subject
笑い	わらい	warai	laugh;laughter;smile
割る	わる	waru	to divide;to cut;to break;to halve
悪口	わるくち	warukuchi	abuse;insult;slander;evil speaking
我々	われわれ	wareware	we
湾	わん	wan	bay;gulf;inlet
