	あっ	a	ах
人気	にんき	ninki	популярность; успех
人間	にんげん	ningen	человеческое существо, человек
抜く	ぬく	nuku	извлекать; вытягивать; отключать
抜ける	ぬける	nukeru	выпадать; выниматься; не хватать
布	ぬの	nuno	ткань
濡れる	ぬれる	nureru	промокать
	ね	ne	значение; цена; стоимость; стоит; заслуга
根	ね	ne	корень
値	ね	ne	значение; цена; стоимость
願い	ねがい	negai	желание; запрос
願う	ねがう	negau	желать; просить
鼠	ねずみ	nezumi	мышь; крыса; темно-серый 
値段	ねだん	nedan	цена, стоимость
熱心	ねっしん	nesshin	рвение; энтузиазм
熱帯	ねったい	nettai	тропики
熱中	ねっちゅう	necchuu	энтузиазм; рвение; мания
年間	ねんかん	nenkan	год
年月	ねんげつ	nengetsu	месяцы и годы
年中	ねんじゅう	nenjuu	целый год; всегда; каждый день
年代	ねんだい	nendai	возраст; эра; период, дата
年齢	ねんれい	nenrei	возраст; лет
野	の	no	поле
能	のう	nou	способности
農家	のうか	nouka	фермер 
農業	のうぎょう	nougyou	сельское хозяйство
農民	のうみん	noumin	фермеры; крестьяне
能力	のうりょく	nouryoku	способность; возможность
	ノー	no	нет
軒	のき	noki	карниз
残す	のこす	nokosu	оставлять; завещать; сохранять 
残り	のこり	nokori	остаток 
乗せる	のせる	noseru	сажать (пассажиров); класть; ставить
除く	のぞく	nozoku	удалять; исключять 
望み	のぞみ	nozomi	 желание; надежда
望む	のぞむ	nozomu	желать 
後	のち	nochi	потом; с тех пор; в будущем
	ノック	nokku	стук, удар (англ. knock)
喉	のど	nodo	горло
伸ばす	のばす	nobasu	удлинять; растягивать; дотягиваться
伸びる	のびる	nobiru	растягивать; расширять; добиться прогресса; отращивать
述べる	のべる	noberu	выражать
昇る	のぼる	noboru	подниматься; восходить
	のんびり	nonbiri	беззаботно; на досуге
場	ば	ba	место; поле (физика)
	はあ	haa	междометие " аа "
	パーセント	paasento	процент
	はい	hai	носить 
灰	はい	hai	пепел
梅雨	ばいう	baiu	сезона дождей
	バイオリン	baiorin	скрипка
	ハイキング	haikingu	пеший туризм
配達	はいたつ	haitatsu	доставка, распределение
	パイプ	paipu	трубы; каналы
俳優	はいゆう	haiyuu	актер; актриса; исполнитель
	パイロット	pairotto	пилот
墓	はか	haka	могила 
馬鹿	ばか	baka	идиот; глупость
博士	はかせ	hakase	профессор
計る	はかる	hakaru	измерять; взвешивать 
履く	はく	haku	носить; надевать (юбку, брюки)
吐く	はく	haku	дышать; рвать; извергать
拍手	はくしゅ	hakushu	аплодисменты
莫大	ばくだい	bakudai	огромный 
爆発	ばくはつ	bakuhatsu	взрыв; извержение
博物館	はくぶつかん	hakubutsukan	музей
激しい	はげしい	hageshii	жестоким; яростный; интенсивный
	はさみ	hasami	ножницы
破産	はさん	hasan	банкротство
端	はし	hashi	конец (например улицы); край; наконечник 
始まり	はじまり	hajimari	происхождения; начало
	パス	pasu	путь 
外す	はずす	hazusu	отстегнуть; удалить
	パスポート	pasupooto	паспорт
旗	はた	hata	флаг
肌	はだ	hada	кожа
裸	はだか	hadaka	голый; обнаженный
畑	はたけ	hatake	поле
二十	はたち	hatachi	20 лет; 20-й год
働き	はたらき	hataraki	работа; труда
	バッグ	baggu	сумка; ошибка
発見	はっけん	hakken	открытие, обнаружение; вывод
発行	はっこう	hakkou	выпуск; издание; публикация
発車	はっしゃ	hassha	отъезд автомобиля
罰する	ばっする	bassuru	наказывать
発達	はったつ	hattatsu	развитие; рост
	ばったり	battari	столкновение (стук); с треском; пухлый
発展	はってん	hatten	развитие; рост
発表	はっぴょう	happyou	объявление; публикация
発明	はつめい	hatsumei	изобретение
話し合う	はなしあう	hanashiau	обсуждать 
離す	はなす	hanasu	расстаться; разрыв; отдельный
放す	はなす	hanasu	отделять; установливать отпускать
離れる	はなれる	hanareru	отделяться; быть оставленным
羽	はね	hane	счетное слово для птиц и кроликов
幅	はば	haba	ширина; ширина
母親	ははおや	hahaoya	мать
省く	はぶく	habuku	опустить; устранить; свернуть; экономить
場面	ばめん	bamen	сцена, постановка (например романа)
腹	はら	hara	живот; брюхо 
原	はら	hara	поле; равнина;
針	はり	hari	игла, стрелка часов
張る	はる	haru	растягивать; расправлять
番	ばん	ban	число
	バン	ban	булочка; ван (караван); VAN 
範囲	はんい	hani	Степень; сфера; сфера; диапазон
反抗	はんこう	hankou	оппозиция; сопротивление
犯罪	はんざい	hanzai	преступление
	ハンサム	hansamu	красивый (о мужчине)
判断	はんだん	handan	суждение; решение
犯人	はんにん	hannin	преступник; уголовное
販売	はんばい	hanbai	продажа; продажи, маркетинг
灯	ひ	hi	свет
	ビール	biiru	пиво
被害	ひがい	higai	повреждение
比較	ひかく	hikaku	сравнение
轢く	ひく	hiku	сбить (транспортным средством)
	ピクニック	pikunikku	пикник
悲劇	ひげき	higeki	трагедия
飛行	ひこう	hikou	авиация
膝	ひざ	hiza	колено 
非常	ひじょう	hijou	чрезвычайно
美人	びじん	bijin	красавица
額	ひたい	hitai	лоб
	びっくり	bikkuri	удивляться; поражать; пугаться 
日付	ひづけ	hizuke	датировка; дата
必死	ひっし	hisshi	неизбежная смерть; отчаяние 
	ぴったり	pittari	точно; аккуратно; резкое
引っ張る	ひっぱる	hipparu	тянуть; тащить
否定	ひてい	hitei	отрицание; отказ
	ビデオ	bideo	видео
一言	ひとこと	hitokoto	одно слово
人込み	ひとごみ	hitogomi	толпа людей
等しい	ひとしい	hitoshii	равный
独り	ひとり	hitori	одинокий; не состоящий в браке
一人一人	ひとりひとり	hitorihitori	один за другим; по одному
批判	ひはん	hihan	критика; суждение; комментарий
批評	ひひょう	hihyou	критика; отзыв; комментарий
秘密	ひみつ	himitsu	тайна; секретность
微妙	びみょう	bimyou	деликатный; тонкое
紐	ひも	himo	шнур; шнурок
費用	ひよう	hiyou	стоимость; расходы
表	ひょう	hyou	таблица; схема; список
秒	びょう	byou	секунда
評価	ひょうか	hyouka	оценка
表現	ひょうげん	hyougen	выражение 
表情	ひょうじょう	hyoujou	выражение лица
平等	びょうどう	byoudou	равенство; беспристрастность 
評判	ひょうばん	hyouban	слава; репутация; популярность 
表面	ひょうめん	hyoumen	поверхность; снаружи
広がる	ひろがる	hirogaru	распространяться; расширять; растягивать 
瓶	びん	bin	бутылка
便	びん	bin	способ; средства
	ピン	pin	штифт
不	ふ(ぶ)	fu(bu)	отрицательная приставка
無	ぶ	bu	ничего; ничто; ноль 
分	ぶ	bu	разделительная; часть
不安	ふあん	fuan	беспокойство; беспокойство; неуверенность; саспенс
風景	ふうけい	fuukei	декорация
夫婦	ふうふ	fuufu	супружеская пара; муж и жена
笛	ふえ	fue	флейта; труба
不可	ふか	fuka	неправильно; нецелесообразно
武器	ぶき	buki	оружие
服装	ふくそう	fukusou	одежда
含む	ふくむ	fukumu	держать во рту; иметь в виду,
袋	ふくろ	fukuro	сумка; мешок
不幸	ふこう	fukou	несчастье; печаль; бедствие
節	ふし	fushi	сустав; нарост; узел 
無事	ぶじ	buji	безопасность; мир 
不思議	ふしぎ	fushigi	тайна; странность
不自由	ふじゆう	fujiyuu	дискомфорт; неудобство; несвобода
夫人	ふじん	fujin	жена;мадам
婦人	ふじん	fujin	женщина (замужняя)
不正	ふせい	fusei	несправедливость 
防ぐ	ふせぐ	fusegu	защищать; предотвращать
不足	ふそく	fusoku	недостаток; нехватка; дефицит; отсутствие 
舞台	ぶたい	butai	сцена театра
双子	ふたご	futago	близнецы
再び	ふたたび	futatabi	снова; еще раз
普段	ふだん	fudan	обычно; привычно
縁	ふち	fuchi	рамка; оправа; обод
打つ	ぶつ	butsu	ударять 
物価	ぶっか	bukka	цены на товары
物質	ぶっしつ	busshitsu	материал; вещество
物理	ぶつり	butsuri	физика
筆	ふで	fude	кисть
	ふと	futo	вдруг; случайно;неожиданно; непреднамеренно
船	ふね	fune	корабль; судно; пароход
部分	ぶぶん	bubun	часть 
不平	ふへい	fuhei	жалоба; недовольство 
不満	ふまん	fuman	недовольство; неудовольствие; жалобы 
	プラス	purasu	плюс
	プラン	puran	план
不利	ふり	furi	недостаток; неудобство
振る	ふる	furu	махать; пожать; качаться 
震える	ふるえる	furueru	дрожать; трястись
	ブレーキ	bureeki	тормоз
触れる	ふれる	fureru	коснуться; трогать; чувствовать
風呂	ふろ	furo	ванна
	プロ	puro	профессиональный
分	ぶん	bun	деление; часть; сегмент
文	ぶん	bun	фраза; письменность
雰囲気	ふんいき	funiki	атмосфера; настроение; окружение
分析	ぶんせき	bunseki	анализ
文明	ぶんめい	bunmei	цивилизация; культура
分野	ぶんや	bunya	поле; сфера; деление 
塀	へい	hei	стены; забор
平均	へいきん	heikin	равновесие; баланс 
平和	へいわ	heiwa	мир, гармония
別に	べつに	betsuni	(не) особенно, ничего
減らす	へらす	herasu	стихать; снижаться; уменьшаться 
減る	へる	heru	уменьшать (размер или количество); уменьшаться; стихать
	ベルト	beruto	пояс (в западной одежде)
変化	へんか	henka	изменение; перемена
	ペンキ	penki	краска
勉強	べんきょう	benkyou	исследование; изучение
変更	へんこう	henkou	изменение; модификация
	ベンチ	benchi	скамейка
方	ほう	hou	сторона
法	ほう	hou	закон; правило
棒	ぼう	bou	стержень; палка
冒険	ぼうけん	bouken	риск; приключение
方向	ほうこう	houkou	направление; курс; способ
報告	ほうこく	houkoku	отчет; информация
宝石	ほうせき	houseki	драгоценность; жемчужина
放送	ほうそう	housou	телевещание; трансляция
豊富	ほうふ	houfu	обилие; богатство 
方法	ほうほう	houhou	метод; образ; способ; средство
方々	ほうぼう	houbou	тут и там; везде
訪問	ほうもん	houmon	визит
吠える	ほえる	hoeru	лаять; выть; реветь; плакать
	ボーイ	booi	мальчик
	ボート	booto	весельная лодка
	ホーム	hoomu	платформа; дом
	ボール	booru	мяч; чаша
他	ほか	hoka	другие (особенно места и вещи)
外	ほか	hoka	другое (место)
誇り	ほこり	hokori	гордость
埃	ほこり	hokori	пыль
保証	ほしょう	hoshou	гарантия; безопасность; обеспечение; залог 
保存	ほぞん	hozon	сохранение; хранение; поддержание
程	ほど	hodo	степень; протяженность; границы; предел
歩道	ほどう	hodou	тропинка; тротуар
仏	ほとけ	hotoke	Будда; усопший
骨	ほね	hone	кость
炎	ほのお	honoo	пламя
頬	ほほ(ほお)	hoho(hoo)	щека 
	ほぼ	hobo	почти; примерно; примерно
微笑む	ほほえむ	hohoemu	улыбаться
褒める	ほめる	homeru	хвалить; восхищаться; хорошо говорить
濠	ほり	hori	ров
本当	ほんと(ほんとう)	honto(hontou)	Правда, реальность
本人	ほんにん	honnin	сам (лично]; лицо, о котором идёт речь
本物	ほんもの	honmono	подлинный товар
	ぼんやり	bonyari	рассеянно; тускло; смутно
間	ま	ma	пространство, комната; время; пауза
	まあ	maa	можно сказать (используется женщинами)
	マーケット	maaketto	рынок
	マイク	maiku	микрофон
迷子	まいご	maigo	потерявшийся ребенок
任せる	まかせる	makaseru	поручить; оставить
幕	まく	maku	занавес; акт (в игре)
負け	まけ	make	поражение 
孫	まご	mago	внук
	まさか	masaka	ни в коем случае
	まさに	masani	правильно; безусловно
真面目	まじめ	majime	прилежно; серьезно; честно
増す	ます	masu	увеличивать; расти
先ず	まず	mazu	во-первых
貧しい	まずしい	mazushii	бедный; нуждающийся
	マスター	masutaa	собственник; менеджер; мастер
	ますます	masumasu	более 
又	また	mata	снова; и
未だ	まだ	mada	но все же;кроме того
街	まち	machi	город; улица; дорога
間違い	まちがい	machigai	ошибка
松	まつ	matsu	сосна; высокий (в системах трехуровневого рейтинга)
真っ赤	まっか	makka	ярко красный 
真っ直ぐ	まっすぐ	massugu	прямо; вертикально
全く	まったく	mattaku	действительно; по-настоящему;полностью
祭	まつり	matsuri	Фестиваль; праздник
学ぶ	まなぶ	manabu	учиться; брать уроки
真似	まね	mane	мимика; имитация; поведение; притворство
招く	まねく	maneku	приглашать; зазывать
	ママ	mama	мама
豆	まめ	mame	фасоль; горох
守る	まもる	mamoru	защищать; охранять
丸	まる	maru	круг; совершенство;; счетный суффикс для названий судов
円	まる	maru	круг; деньги
丸い	まるい	marui	круглый; сферической
	まるで	marude	довольно; полностью 
回す	まわす	mawasu	превращать; вращаться
回り	まわり	mawari	окружность; окружение, тираж
万一	まんいち	manichi	по какой-то возможности;; 100 тысяч
満足	まんぞく	manzoku	удовлетворение
身	み	mi	тело; основная часть 
実	み	mi	фрукт; плод; семя; хороший результат
見送り	みおくり	miokuri	провожание; прощание 
味方	みかた	mikata	друг, союзник; сторонник
見事	みごと	migoto	великолепный; красивый 
	ミス	misu	мисс; ошибка 
満ちる	みちる	michiru	быть полным; приливать; созревать; истекать
密	みつ	mitsu	секрет; тайна
認める	みとめる	mitomeru	признать, оценить; утвердить; признать; замечать
皆	みんな	minna	каждый; все
見舞い	みまい	mimai	посещение (больного); выражение сочувствия 
土産	みやげ	miyage	сувенир
都	みやこ	miyako	капитал
妙	みょう	myou	странно; необычное
明後日	みょうごにち	myougonichi	послезавтра
未来	みらい	mirai	будущее (жизнь, время)
魅力	みりょく	miryoku	очарование; увлечение 
	ミルク	miruku	молоко
無	む	mu	ничего; ничто 
向かい	むかい	mukai	перед; напротив; на другой стороне
迎え	むかえ	mukae	встреча 
向く	むく	muku	направляться
向ける	むける	mukeru	повернуть в сторону 
無視	むし	mushi	пренебрежение; игнорирование
虫歯	むしば	mushiba	кариес 
寧ろ	むしろ	mushiro	лучше; вместо
結ぶ	むすぶ	musubu	связывать 
無駄	むだ	muda	тщетность; бесполезность
夢中	むちゅう	muchuu	не помня себя; как во сне; потерянно; рассеянно
胸	むね	mune	грудь
無料	むりょう	muryou	бесплатно 
芽	め	me	росток
明確	めいかく	meikaku	прояснить; уточнить; определить
命じる	めいじる	meijiru	приказывать; распоряжаться; назначать на должность
名人	めいじん	meijin	мастер; эксперт
命令	めいれい	meirei	команда; указ; директива; инструкция
迷惑	めいわく	meiwaku	беспокойство; раздражение
飯	めし	meshi	пища; рис (сваренный)
滅多に	めったに	mettani	редко (с отрицанием); редко
	メモ	memo	заметка
面	めん	men	лицо; кружка; поверхность; черты лица; маска; сторона или аспект 
綿	めん	men	хлопок; обивка
免許	めんきょ	menkyo	лицензия; разрешение; удостоверение
面倒	めんどう	mendou	трудность; беспокойство; хлопоты
	メンバー	menbaa	член
申し込む	もうしこむ	moushikomu	подать заявку 
申し訳	もうしわけ	moushiwake	извинение; оправдание
毛布	もうふ	moufu	одеяло
燃える	もえる	moeru	сжечь
目的	もくてき	mokuteki	цель; намерение
目標	もくひょう	mokuhyou	знак; цель 
木曜	もくよう	mokuyou	четверг
文字	もじ(もんじ)	moji(monji)	знак; буква; иероглиф
	もしも	moshimo	если
持ち上げる	もちあげる	mochiageru	быть поднятым; возникать; случаться; происходить
用いる	もちいる	mochiiru	использовать 
勿論	もちろん	mochiron	конечно; естественно
最も	もっとも	mottomo	наиболее; чрезвычайно
尤も	もっとも	mottomo	правильный; резонный; впрочем; правда
元	もと	moto	происхождение; оригинал; бывший
基	もと	moto	основа
素	もと	moto	то, из чего сделано; материал
戻す	もどす	modosu	возвращать
基づく	もとづく	motozuku	быть связаным с; происходить из
求める	もとめる	motomeru	искать; запрашивать; требовать; хотеть; желать; искать; охотиться 
者	もの	mono	человек
物音	ものおと	monooto	звуки
物語	ものがたり	monogatari	сказка; история; легенда
物事	ものごと	monogoto	вещи; все
模様	もよう	moyou	рисунок; фигура; дизайн
貰う	もらう	morau	получать
文句	もんく	monku	фраза; предложение
	やがて	yagate	в скором времени; и вскоре; затем
役	やく	yaku	выгода; роль; польза
約	やく	yaku	примерно; около 
訳	やく	yaku	перевод (с одного языка на другой)
役割	やくわり	yakuwari	часть; роль; обязанности
家賃	やちん	yachin	аренда
厄介	やっかい	yakkai	беда; бремя; беспокойство
宿	やど	yado	гостиница; жилье
雇う	やとう	yatou	использовать; нанимать
屋根	やね	yane	крыша
	やはり	yahari	также; как я думал; но все же; несмотря на; абсолютно; конечно
破る	やぶる	yaburu	рвать; нарушать; победить; чтобы разбить; уничтожить
辞める	やめる	yameru	уходить в отставку
	やや	yaya	немного; частично; несколько; короткое время;а
唯一	ゆいいつ	yuiitsu	только; единственный; уникальный
勇気	ゆうき	yuuki	мужество; храбрость; доблесть; смелость
有効	ゆうこう	yuukou	действие; эффективность
優秀	ゆうしゅう	yuushuu	превосходство; совершенство
優勝	ゆうしょう	yuushou	победа (спортивная)
友情	ゆうじょう	yuujou	дружба; общение
友人	ゆうじん	yuujin	друг
有能	ゆうのう	yuunou	состояние; способнность; умение
郵便	ゆうびん	yuubin	почта; почтовый сервис
夕べ	ゆうべ	yuube	вечер
	ユーモア	yuumoa	юмор
有利	ゆうり	yuuri	выгодно; лучше; прибыльно
床	ゆか	yuka	этаж
愉快	ゆかい	yukai	удовольствие
輸出	ゆしゅつ	yushutsu	экспорт
譲る	ゆずる	yuzuru	отдавать; передавать; уступать
豊か	ゆたか	yutaka	изобильный; богатый
	ゆっくり	yukkuri	медленно; непринужденно
輸入	ゆにゅう	yunyuu	импорт, импорт, внедрение
許す	ゆるす	yurusu	разрешать; утверждать
夜	よ	yo	вечер и ночь
夜明け	よあけ	yoake	рассвет 
様	よう	you	способ; образо; вид
酔う	よう	you	пьянеть
容易	ようい	youi	легко; просто; ясно
陽気	ようき	youki	сезон; погода; жизнерадостность
要求	ようきゅう	youkyuu	запрос; спрос 
用心	ようじん	youjin	осторожность, бдительность
様子	ようす	yousu	состояние; внешний вид
要するに	ようするに	yousuruni	одним словом; в конце концов; дело в том, ...
要素	ようそ	youso	элемент
要点	ようてん	youten	суть; главное
曜日	ようび	youbi	день недели
	ヨーロッパ	yooroppa	Европа
予期	よき	yoki	ожидание; предположение; прогноз
横切る	よこぎる	yokogiru	пересекать (например руки); проходитьти
予算	よさん	yosan	оценка; бюджет
止す	よす	yosu	прекращать; уйти в отставку; сдаваться
予測	よそく	yosoku	прогноз, оценка
	ヨット	yotto	яхта
夜中	よなか	yonaka	полночь; глубокая ночь
世の中	よのなか	yononaka	общество; мир; времена
余分	よぶん	yobun	излишек; избыток
予報	よほう	yohou	прогноз; предсказание
予防	よぼう	yobou	профилактика; предосторожность; защита от
読み	よみ	yomi	чтение
嫁	よめ	yome	невестка
余裕	よゆう	yoyuu	свобода (действий), возможности; достаточное количество (времени, денег)
	より	yori	чем; более
	よると	yoruto	в соответствии с
喜び	よろこび	yorokobi	радость; восторг; удовольствие; удовлетворение 
宜しい	よろしい	yoroshii	(вежливо) хорошо; все в порядке 
	よろしく	yoroshku	хорошо; должным образом; соответствующим образом; с наилучшими пожеланиями; очень приятно (при знакомстве)
四	よん	yon	четыре
来	らい	rai	грядущий
	ライター	raitaa	писатель
楽	らく	raku	комфорт; удовольствие
	ラケット	raketto	ракета
利益	りえき	rieki	прибыль; доходы; выгода
理解	りかい	rikai	понимание; понимание
陸	りく	riku	шесть (используется в документах)
利口	りこう	rikou	умный, проницательный; яркий; мудрый 
離婚	りこん	rikon	развод
理想	りそう	risou	идеал
率	りつ	ritsu	ставка; отношение; доля, процент
立派	りっぱ	rippa	великолепный; штраф; красивый; элегантный 
留学	りゅうがく	ryuugaku	обучение за рубежом
流行	りゅうこう	ryuukou	причуда; мода 
量	りょう	ryou	количество; объем 
両替	りょうがえ	ryougae	обмен валюты
料金	りょうきん	ryoukin	оплата 
例	れい	rei	экземпляр; пример; дело
礼	れい	rei	выражение благодарности
礼儀	れいぎ	reigi	манеры; любезно; этикет
冷静	れいせい	reisei	самообладание; спокойствие; безмятежность
列	れつ	retsu	очередь; линия; ряд
列車	れっしゃ	ressha	поезд 
	レポート	repooto	отчет 
練習	れんしゅう	renshuu	практика
連想	れんそう	rensou	ассоциация (идей); предложение
連続	れんぞく	renzoku	серийный; подряд; непрерывность 
労働	ろうどう	roudou	ручной труд; труд, работа
	ロケット	roketto	медальон; ракета
論じる	ろんじる	ronjiru	спорить; обсуждать 
論争	ろんそう	ronsou	полемика; спор
論文	ろんぶん	ronbun	тезис; эссе; трактат
輪	わ	wa	кольцо; обруч; круг
	ワイン	wain	вино
	わがまま	wagamama	эгоизм; своеволие; неповиновение; каприз
別れ	わかれ	wakare	расставание; разделение; прощание
脇	わき	waki	бок; боковая сторона; подмышка
分ける	わける	wakeru	разделить; отделить
	わざと	wazato	нарочно
僅か	わずか	wazuka	только; просто; немного; небольшое количество
綿	わた	wata	хлопок; обивка
話題	わだい	wadai	тема; предмет
笑い	わらい	warai	 смех; улыбка
割る	わる	waru	разделять; сокращать; ломать;
悪口	わるくち	warukuchi	оскорбление; клевета; злоречие
我々	われわれ	wareware	мы
	わん	wan	залив; бухта
