嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
賜る	たまわる	tamawaru	to grant, to bestow	предоставить; даровать
例	ためし	tameshi	instance, example, case, precedent, experience, custom, usage, parallel, illustration	пример; случай
躊躇う	ためらう	tamerau	to hesitate	медлить
保つ	たもつ	tamotsu	to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure, to keep we	хранить; удерживать; поддерживать
容易い	たやすい	tayasui	easy, simple, light	легко; просто; свет
多様	たよう	tayou	diversity, variety	разнообразие
弛み	たるみ	tarumi	slack, slackening, dullness, letdown	слабина; ослабление
弛む	たるむ	tarumu	to slacken, to loosen, to relax	ослаблять
誰	たれ	tare	adjectival suffix for a person	кто?
垂れる	たれる	tareru	to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave	свешивать(ся); капать
歎	たん	tan	grief, sigh, lamentation	горе; вздох; плач
反	たん	tan	roll of cloth (c. 10 yds.), .245 acres, 300 tsubo	рулон ткани (ок. 10 ярдов); 0,245 акров; 300 цубо
単一	たんいつ	tanitsu	single, simple, sole, individual, unitory	один; простой; единственным; индивидуальный
短歌	たんか	tanka	tanka, 31-syllable Japanese poem	танка; 31 - слоговой японский стих
担架	たんか	tanka	stretcher, litter	носилки; мусор
短気	たんき	tanki	quick temper	вспыльчивость
探検	たんけん	tanken	exploration, expedition	разведка; экспедиция
短縮	たんしゅく	tanshuku	shortening, abbreviation, reduction	сокращение; аббревиатура
箪笥	たんす	tansu	chest of drawers	комод
炭素	たんそ	tanso	carbon (C)	углерод
短大	たんだい	tandai	junior college	двухгодичный колледж
単調	たんちょう	tanchou	monotony, monotone, dullness	однообразие; монотонность
単独	たんどく	tandoku	sole, independence, single, solo (flight)	единственный; независимый; один
短波	たんぱ	tanpa	short wave	короткая радиоволна
蛋白質	たんぱくしつ	tanpakushitsu	protein	белок
第	だい	dai	ordinal	префикс порядковых числительных
第一	だいいち	daiichi	first, foremost, # 1	первый; в первую очередь; № 1
大胆	だいたん	daitan	bold, daring, audacious	смелый; дерзкий
台無し	だいなし	dainashi	mess, spoiled, (come to) nothing	свести на нет; уничтожить; угробить
大便	だいべん	daiben	feces, excrement, shit	кал; испражнения
代弁	だいべん	daiben	pay by proxy, act for another, speak for another	оплата по доверенности
台本	だいほん	daihon	libretto, scenario	сценарий
代用	だいよう	daiyou	substitution	замена
打開	だかい	dakai	break in the deadlock	выход из положения; разрешение вопроса
妥協	だきょう	dakyou	compromise, giving in	компромисс
丈	だけ	dake	only, just, as	только; просто
妥結	だけつ	daketsu	agreement	соглашение
打撃	だげき	dageki	1. blow, shock, strike, damage, 2. batting (baseball)	удар; шок; повреждение
駄作	ださく	dasaku	poor work, rubbish	плохая работа
脱出	だっしゅつ	dasshutsu	escape	побег
脱する	だっする	dassuru	to escape from, to get out	освобождаться от чего-л.; спасаться от чего-л; избегать
脱退	だったい	dattai	secession	отделение
	だぶだぶ	dabudabu	loose, baggy	свободно; вяло
騙す	だます	damasu	to trick, to cheat, to deceive	обмануть
	だらけ	darake	implying (negatively) that something is full of e.g. mistakes	прост. суф. полный чего-л.; кишащий чем-л.
怠い	だるい	darui	sluggish, feel heavy, languid, dull	вялый; чувствовать себя тяжелым; томный
壇	だん	dan	1. platform, podium, rostrum, 2. (arch) mandala	платформа; подиум; трибуна
団結	だんけつ	danketsu	unity, union, combination	единство; союз; сочетание
断言	だんげん	dangen	declaration, affirmation	декларация; утверждение
断然	だんぜん	danzen	firmly, absolutely, definitely	твердо; абсолютно; безусловно;
段々	だんだん	dandan	gradually, by degrees	постепенно; постепенно
旦那	だんな	danna	master (of house), husband (informal)	хозяин; муж
断面	だんめん	danmen	cross section	поперечное сечение
弾力	だんりょく	danryoku	elasticity, flexibility	эластичность; гибкость
治安	ちあん	chian	public order	общественный порядок
近付く	ちかづく	chikazuku	to approach, to get near, to get acquainted with, to get closer	подойти; приблизиться
違える	ちがえる	chigaeru	to change	меняться
契る	ちぎる	chigiru	to pledge, to promise, to swear	обещать; клясться
畜産	ちくさん	chikusan	animal husbandry	животноводство
畜生	ちくしょう	chikushou	beast, brute, damn	зверь; скотина
蓄積	ちくせき	chikuseki	accumulation, accumulate, store	накопление
知性	ちせい	chisei	intelligence	интеллект
乳	ちち	chichi	milk, breast, loop	молоко; грудь; вымя
父母	ちちはは	chichihaha	father and mother, parents	родители
縮まる	ちぢまる	chijimaru	to be shortened, to be contracted, to shrink	укоротить; сокращаться
窒息	ちっそく	chissoku	suffocation	удушение
些とも	ちっとも	chittomo	not at all (neg. verb)	когда-нибудь; при случае
秩序	ちつじょ	chitsujo	order, regularity, system, method	порядок; регулярность; система; способ
知的	ちてき	chiteki	intellectual	интеллектуальный
著	ちゃく	chaku	counter for suits of clothing, arriving at ..	счетное слово для одежды; прибытие в ..
着手	ちゃくしゅ	chakushu	embarkation, launch	посадка; запуск
着色	ちゃくしょく	chakushoku	colouring, coloring	расцветка
着席	ちゃくせき	chakuseki	sit down, seat	место
着目	ちゃくもく	chakumoku	attention	внимание
着陸	ちゃくりく	chakuriku	landing, alighting, touch down	приземление; посадка
着工	ちゃっこう	chakkou	start of (construction) work	начало работы
茶の間	ちゃのま	chanoma	living room (Japanese style)	гостиная (в японскои стиле)
茶の湯	ちゃのゆ	chanoyu	tea ceremony	чайная церемония
	ちやほや	chiyahoya	pamper, make a fuss of, spoil	баловать; носиться с
昼間	ちゅうかん	chuukan	daytime, during the day	день; в течение дня
宙返り	ちゅうがえり	chuugaeri	somersault, looping-the-loop	сальто
中継	ちゅうけい	chuukei	relay, hook-up	реле; трансляция
忠告	ちゅうこく	chuukoku	advice, warning	совет; предупреждение
中指	ちゅうし	chuushi	middle finger	средний палец
中傷	ちゅうしょう	chuushou	slander, libel, defamation	клевета; диффамация
忠実	ちゅうじつ	chuujitsu	fidelity, faithfulness	верность; верность
中枢	ちゅうすう	chuusuu	centre, pivot, mainstay, nucleus, backbone, central figure, pillar, key man	центр; стержень; опора; ядро; костяк; столб
抽選	ちゅうせん	chuusen	lottery, raffle, drawing (of lots)	лотерея
中断	ちゅうだん	chuudan	interruption, suspension, break	прерывание; перерыв
中腹	ちゅうっぱら	chuuppara	irritated, offended	раздражаться; обижаться
中毒	ちゅうどく	chuudoku	poisoning	отравление
仲人	ちゅうにん	chuunin	go-between, matchmaker	сват; сваха
昼飯	ちゅうはん	chuuhan	lunch, midday meal	обед
中立	ちゅうりつ	chuuritsu	neutrality	нейтральность
中和	ちゅうわ	chuuwa	neutralize, counteract	нейтрализовать; противодействовать
腸	ちょう	chou	guts, bowels, intestines	кишки; кишечник
蝶	ちょう	chou	butterfly	бабочка
超	ちょう	chou	super-, ultra-, hyper-	супер-; ультра-; гипер-
庁	ちょう	chou	government office	правительственное ведомство; учреждение
調印	ちょういん	chouin	signature, sign, sealing	подпись; знак; герметизация
聴覚	ちょうかく	choukaku	the sense of hearing	слух
長官	ちょうかん	choukan	chief, (government) secretary	начальник
聴講	ちょうこう	choukou	lecture attendance, auditing	посещаемость лекций
徴収	ちょうしゅう	choushuu	collection, levy	сбор
聴診器	ちょうしんき	choushinki	stethoscope	стетоскоп
挑戦	ちょうせん	chousen	challenge, defiance	вызов (на поединок,соревнование и т.п.)
長大	ちょうだい	choudai	very long, great length	очень долго; большая длина
調停	ちょうてい	choutei	arbitration, conciliation, mediation	арбитраж; посредничество
恰度	ちょうど	choudo	just, right, exactly	просто; не так ли; точно
長編	ちょうへん	chouhen	long (e.g. novel film)	сокр. роман; полнометражный фильм
丁目	ちょうめ	choume	district of a town, city block (of irregular size)	район города; городской квартал
調理	ちょうり	chouri	cooking	кулинария
調和	ちょうわ	chouwa	harmony	гармония
	ちょくちょく	chokuchoku	often, frequently, now and then, occasionally	часто; время от времени
直面	ちょくめん	chokumen	confrontation	конфронтация
著書	ちょしょ	chosho	literary work, book	литературное произведение; книга
貯蓄	ちょちく	chochiku	savings	экономия
直感	ちょっかん	chokkan	intuition	интуиция
一寸	ちょっと	chotto	(ateji) (adv int) (uk) just a minute, a short time, a while, just a little, somewhat, easily, readily, rath	немножко,чуточку; на минутку
著名	ちょめい	chomei	well-known, noted, celebrated	хорошо известно; отметил; отмечается
	ちらっと	chiratto	at a glance, by accident	на первый взгляд; случайно
塵取り	ちりとり	chiritori	dustpan	совок для мусора
治療	ちりょう	chiryou	medical treatment	лечение
賃金	ちんぎん	chingin	wages	заработная плата
沈殿	ちんでん	chinden	precipitation, settlement	отложение; осаждение
沈没	ちんぼつ	chinbotsu	sinking, foundering	затопление
沈黙	ちんもく	chinmoku	silence, reticence	тишина; скрытность
陳列	ちんれつ	chinretsu	exhibition, display, show	выставка; шоу
追及	ついきゅう	tsuikyuu	gaining on, carrying out, solving (crime)	догнать; нагнать; добиваться
追跡	ついせき	tsuiseki	pursuit	погоня
次いで	ついで	tsuide	next, secondly, subsequently	далее; впоследствии
追放	ついほう	tsuihou	exile, banishment	изгнание
費やす	ついやす	tsuiyasu	to spend, to devote, to waste	посвятить; тратить
墜落	ついらく	tsuiraku	falling, crashing	падение (самолёта и т.п.)
通	つう	tsuu	connoisseur, counter for letters	счетное слово для писем
痛感	つうかん	tsuukan	feeling keenly, fully realizing	чувствовать остро
通常	つうじょう	tsuujou	common, general, usually	вообще; как правило;
痛切	つうせつ	tsuusetsu	keen, acute	острый
杖	つえ	tsue	cane	тростник
遣い	つかい	tsukai	mission, simple task, doing	простая задача
使い道	つかいみち	tsukaimichi	use	использование
仕える	つかえる	tsukaeru	to serve, to work for	служить; работать на
司る	つかさどる	tsukasadoru	to rule, to govern, to administer	править; управлять
束の間	つかのま	tsukanoma	moment, brief time, brief, transient	момент; краткое время
付き	つき	tsuki	attached to, impression, sociality, appearance, furnished with, under, to	удача; везение; в связи с тем
付き合う	つきあう	tsukiau	to associate with, to keep company with, to get on with	поддерживать знакомство отношения
月並み	つきなみ	tsukinami	every month, common	каждый месяц
尽きる	つきる	tsukiru	to be used up, to be run out, to be exhausted, to be consumed, to come to an end	иссякать; исчерпываться; истекать (о времени)
継ぎ目	つぎめ	tsugime	a joint, joining point	точка соединения
吐く	つく	tsuku	1. to breathe, 2. to tell (lies), 3. to vomit, to disgorge	дышать; сказать (ложь); рвать; извергать
尽くす	つくす	tsukusu	to exhaust, to run out, to serve (a person), to befriend	заканчиваться; исчерпываться; прийти к концу
作り	つくり	tsukuri	make-up, sliced raw fish	макияж; нарезанная сырая рыба
造り	つくり	tsukuri	make up, structure, physique	изготовление; конструкция; телосложение
造る	つくる	tsukuru	to make, to create, to manufacture, to draw up, to write, to compose, to build, to coin, to cultivate, to org	сделать; создать; разработать; писать; сочинять; построить; выдумать
繕う	つくろう	tsukurou	to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim	исправить; починить; залатать; штопать; привести в порядок
接ぐ	つぐ	tsugu	to join, to piece together, to set (bones), to graft (trees)	присоединиться; собрать воедино; установить
継ぐ	つぐ	tsugu	to succeed	быть преемником; наследовать; чинить;
付け加える	つけくわえる	tsukekuwaeru	to add one thing to another	положить одну вещь на другую
告げる	つげる	tsugeru	to inform	сообщить
辻褄	つじつま	tsujitsuma	coherence, consistency	согласованность и последовательность действий
途中	つちゅう	tsuchuu	on the way, en route	на пути; по пути
突っ張る	つっぱる	tsupparu	to support, to become stiff, to become taut, to thrust (ones opponent), to stick to (ones opinion), to in	упираться; подпирать
筒	つつ	tsutsu	pipe, tube	трубы; трубки
銃	つつ	tsutsu	gun	пистолет
突く	つつく	tsutsuku	1. to thrust, to strike, to attack, 2. to poke, to nudge, to pick at	засунуть; ударить; атаковать; подтолкнуть
慎む	つつしむ	tsutsushimu	to be careful, to be chaste or discreet, to abstain or refrain	быть осторожным; быть целомудренным,сдержанным
伝言	つてごと	tsutegoto	verbal message, rumor, word	устное послание; слух; слово
勤まる	つとまる	tsutomaru	to be fit for, to be equal to, to function properly	подходить; годиться; справляться с работой
勤め先	つとめさき	tsutomesaki	place of work	место работы
努めて	つとめて	tsutomete	make an effort!, work hard!	работай!
津波	つなみ	tsunami	tsunami, tidal wave	цунами; приливная волна
抓る	つねる	tsuneru	to pinch	ущипнуть
募る	つのる	tsunoru	to invite, to solicit help participation etc	вербовать; объявлять набор; усиливаться; принимать острый характер
唾	つば	tsuba	saliva, sputum	слюна
呟く	つぶやく	tsubuyaku	to mutter, to murmur	бормотать
瞑る	つぶる	tsuburu	to close the eyes	закрыть глаза
壷	つぼ	tsubo	tsubo jar, pot, vase	горшок; кувшин; сосуд
蕾	つぼみ	tsubomi	bud, flower bud	бутон; цветок бутон
躓く	つまずく	tsumazuku	to stumble, to trip	наткнуться; к поездке
摘む	つまむ	tsumamu	to pinch, to hold, to pick up	споткнуться; оступиться; сделать неверный шаг
詰らない	つまらない	tsumaranai	insignificant, boring, trifling	незначительный; скучный; пустяковый
詰まり	つまり	tsumari	in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate	в двух словах; другими словами; то есть; в конечном счете; в конце концов; блокада; начинка
積もり	つもり	tsumori	intention, plan	намерение; план
露	つゆ	tsuyu	dew	роса
強まる	つよまる	tsuyomaru	to get strong, to gain strength	усиливаться
強める	つよめる	tsuyomeru	to strengthen, to emphasize	укреплять; усиливать
連なる	つらなる	tsuranaru	to extend, to stretch out, to stand in a row	расширить; растянуться; встать в один ряд
貫く	つらぬく	tsuranuku	to go through	пройти
連ねる	つらねる	tsuraneru	to link, to join, to put together	перейти по ссылке; присоединиться; ставить в ряд; образовывать цепь
釣り	つり	tsuri	fishing, angling	рыбалка;
吊り革	つりかわ	tsurikawa	strap	ремень
釣鐘	つりがね	tsurigane	hanging bell	висячий (храмовый) колокол
吊るす	つるす	tsurusu	to hang	повесить
手当て	てあて	teate	allowance, compensation, treatment, medical care	пособие; компенсация; лечение; медицинское обслуживание
体	てい	tei	appearance, air, condition, state, form	внешний вид; воздух; состояние; форма
提供	ていきょう	teikyou	offer, tender, program sponsoring, furnishing	предоставление; предложение
定義	ていぎ	teigi	definition	определение
提携	ていけい	teikei	cooperation, tie-up, joint business, link-up	соглашение; связка; блок
体裁	ていさい	teisai	decency, style, form, appearance, show, get-up, format	порядочность; стиль; форма; внешний вид; формат
梯子	ていし	teishi	ladder, stairs	лестница
定食	ていしょく	teishoku	set meal, special (of the day)	комплексный обед
提示	ていじ	teiji	presentation, exhibit, suggest, citation	презентация; выставка; цитата
訂正	ていせい	teisei	correction, revision	коррекция; пересмотр
停滞	ていたい	teitai	stagnation, tie-up, congestion, retention, accumulation, falling into arrears	застой; путы; заторы; удержание; накопление; попадая в задолженности
邸宅	ていたく	teitaku	mansion, residence	особняк; резиденция
定年	ていねん	teinen	retirement age	пенсионный возраст
堤防	ていぼう	teibou	bank, weir	банк; водослив
手遅れ	ておくれ	teokure	too late, belated treatment	слишком поздно; запоздалое лечение
手数	てかず	tekazu	number of moves, trouble	количество ходов; проблемы
手掛かり	てがかり	tegakari	contact, trail, scent, on hand, hand hold, clue, key	контакт; тропа; запах; на руках; держать руку
手掛ける	てがける	tegakeru	to handle, to manage, to work with, to rear, to look after, to have experience with	в обращении; управлять; работать; чтобы поднять; ухаживать; иметь опыт работы с
手軽	てがる	tegaru	easy, simple, informal, offhand, cheap	легкий; простой; неформальный; навскидку; дешевый
的	てき	teki	-like, typical	фамильярно-пренебрежительный суффикс лица
適応	てきおう	tekiou	adaptation, accommodation, conformity	адаптация; размещение; соответствие
適宜	てきぎ	tekigi	suitability	пригодность
適性	てきせい	tekisei	aptitude	способность
手際	てぎわ	tegiwa	performance, skill, tact	искусство; мастерство; ловкость; исполнение; представление
手順	てじゅん	tejun	process, procedure, protocol	процесс; процедура; протокол
手錠	てじょう	tejou	handcuffs, manacles	наручники; кандалы
手近	てぢか	tejika	near, handy, familiar	рядом; под рукой; знакомы
	てっきり	tekkiri	surely, certainly, beyond doubt	безусловно; конечно; вне всякого сомнения;
鉄鋼	てっこう	tekkou	iron and steel	железо и сталь
徹する	てっする	tessuru	to sink in, to penetrate, to devote oneself, to believe in, to go through, to do intently and exclusively	осознаваться; проникнуть; посвятить себя; верить в; пройти; сделать тщательно
鉄片	てっぺん	teppen	iron scraps	металолом
手配	てはい	tehai	arrangement, search (by police)	подготовка; приготовления; установление распорядка
手筈	てはず	tehazu	arrangement, plan, programme	расположение; план; программа
手引き	てびき	tebiki	guidance, guide, introduction	руководство; внедрение
手本	てほん	tehon	model, pattern	модель; шаблон
手回し	てまわし	temawashi	preparations, arrangements	подготовка; приготовления; сборы
手元	てもと	temoto	on hand, at hand, at home	палочки для еды и тарелочки для накладывания
照り返す	てりかえす	terikaesu	to reflect, to throw back light	отразить
手分け	てわけ	tewake	division of labour	разделение труда
店	てん	ten	store, shop, establishment	магазин; учреждение
点火	てんか	tenka	ignition, lighting, set fire to	зажигание; освещение
転回	てんかい	tenkai	revolution, rotation	революция; переворот
転換	てんかん	tenkan	convert, divert	поворот к чему-л.; переход к чему-л.; перевод на что-л.; конверсия
転居	てんきょ	tenkyo	moving, changing residence	изменение места жительства
転勤	てんきん	tenkin	transfer, transmission	передача; передача
点検	てんけん	tenken	inspection, examination, checking	осмотр; обследование; проверка
転校	てんこう	tenkou	change schools	переход в другую школу
天国	てんごく	tengoku	paradise, heaven, Kingdom of Heaven	рай
天才	てんさい	tensai	genius, prodigy, natural gift	гений; природный дар
天災	てんさい	tensai	natural calamity, disaster	стихийное бедствие; катастрофа
展示	てんじ	tenji	exhibition, display	выставка; показ
天井	てんじょう	tenjou	ceiling, ceiling price	потолок
転じる	てんじる	tenjiru	to turn, to shift, to alter, to distract	в свою очередь; переложить; чтобы изменить; чтобы отвлечь
点線	てんせん	tensen	dotted line, perforated line	пунктирная линия; перфорированная линия
天体	てんたい	tentai	heavenly body	небесное тело
転転	てんてん	tenten	rolling about, moving from place to place, being passed around repeatedly	переходить из рук в руки; переходить с места на место
	てんで	tende	(not) at all, altogether, entirely	(не) вообще; в целом; полностью
転任	てんにん	tennin	change of post	перевод на работу в другое учреждение (на другую должность)
展望	てんぼう	tenbou	view, outlook, prospect	вид; мировоззрение; перспектива
転落	てんらく	tenraku	fall, degradation, slump	падение; деградация;
出合う/出くわす	であう/でくわす	deau/ dekuwasu	to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date	встретиться случайно; произойти; столкнуться; провести свидание
出入り口	でいりぐち	deiriguchi	exit and entrance	выход и вход
	でかい	dekai	huge	огромный
出来物	できもの	dekimono	able man, tumour, growth, boil, ulcer, abcess, rash, pimple	нарыв; волдырь; опухоль; превосходно сделанная вещь; выдающийся человек
出切る	できる	dekiru	to be out of, to have no more at hand	закончиться; не остаться; целиком выйти
出鱈目	でたらめ	detarame	irresponsible utterance, nonsense, nonsensical, random, haphazard, unsystematic	ерунда; бессмыслица; случайный; бессистемный
出直し	でなおし	denaoshi	adjustment, touch up	регулировка
田園	でんえん	denen	country, rural districts	поля и сады; деревня; сельская местность
電源	でんげん	dengen	source of electricity, power (button on TV etc.)	источник электроэнергии
伝説	でんせつ	densetsu	tradition, legend, folklore	традиция; легенда; фольклор
電線	でんせん	densen	electric line	электрическая линия
伝達	でんたつ	dentatsu	transmission (e.g. news), communication, delivery	передача (информации); распространение (звука и т.п.)
伝来	でんらい	denrai	ancestral, hereditary, imported, transmitted, handed down	передача по наследству; из поколения в поколение,наследование
	と	to	1. if (conjunction), 2. promoted pawn (shogi) (abbr)	если (союз)
問い合わせる	といあわせる	toiawaseru	to enquire, to seek information	запрашивать; искать информацию
問屋	といや	toiya	wholesale store	оптовый склад
問う	とう	tou	to ask, to question, to charge (i.e. with a crime), to accuse, without regard to (neg)	спросить; на вопрос; обвинять; не придавать значения
棟	とう	tou	place, section, building	место; раздел; здание
等	とう	tou	et cetera, etc., and the like	и т.д.; и тому подобное
陶器	とうき	touki	pottery, ceramics	керамика
等級	とうきゅう	toukyuu	grade, class	класс
討議	とうぎ	tougi	debate, discussion	дебаты; обсуждение
登校	とうこう	toukou	attendance (at school)	посещаемость (в школе)
統合	とうごう	tougou	integration, unification, synthesis	интеграция; объединение; синтез
倒産	とうさん	tousan	(corporate) bankruptcy, insolvency	банкротство; разориться; обанкротиться
投資	とうし	toushi	investment	инвестиции
統治	とうじ	touji	rule, reign, government, governing	управление; правление
統制	とうせい	tousei	regulation, control	регулирование; контроль
当選	とうせん	tousen	being elected, winning the prize	избрание
逃走	とうそう	tousou	flight, desertion, escape	бегство; дезертирство; побег
統率	とうそつ	tousotsu	command, lead, generalship, leadership	командование; руководство
到達	とうたつ	toutatsu	reaching, attaining, arrival	достижение; прибытие
到底	とうてい	toutei	(cannot) possibly	с отриц. совершенно,абсолютно (о невозможности и т.п.)
丁々	とうとう	toutou	clashing of swords, felling of trees, ringing of an ax	звон (мечей,топора); вырубка деревьев
投入	とうにゅう	tounyuu	throw, investment, making (an electrical circuit)	вкладывание; вбрасывание; внесение
当人	とうにん	tounin	the one concerned, the said person	данное лицо; этот человек
逃亡	とうぼう	toubou	escape	побег
冬眠	とうみん	toumin	hibernation, winter sleep	спячка
登録	とうろく	touroku	registration, register, entry, record	регистрация; вход; запись
討論	とうろん	touron	debate, discussion	дебаты; обсуждение
遠ざかる	とおざかる	toozakaru	to go far off	удаляться; отдаляться; держаться на расстоянии
遠回り	とおまわり	toomawari	detour, roundabout way	объезд; окольный путь
通りかかる	とおりかかる	toorikakaru	to happen to pass by	пройти мимо
兎角	とかく	tokaku	anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to	часто; обычно; обыкновенно
咎める	とがめる	togameru	to blame, to find fault, to take someone to task, to aggravate (an injury)	укорять; порицать; придираться; воспаляться
時折	ときおり	tokiori	sometimes	иногда
跡切れる	とぎれる	togireru	to pause, to be interrupted	сделать паузу; прервать
説く	とく	toku	to explain, to advocate, to preach, to persuade	объяснить; выступить; чтобы проповедовать; чтобы убедить
特技	とくぎ	tokugi	special skill	специальные навыки
特産	とくさん	tokusan	specialty, special product	специальный продукт
特集	とくしゅう	tokushuu	feature (e.g. newspaper), special edition, report	специальный выпуск
得点	とくてん	tokuten	score, points made, marks obtained, runs	полученные отметки; спорт. очки,счет (га най счет ноль-ноль)
特派	とくは	tokuha	send specially, special envoy	специальная командировка
特有	とくゆう	tokuyuu	characteristic (of), peculiar (to)	характерный; свойственный
研ぐ	とぐ	togu	to sharpen, to grind, to scour, to hone, to polish, to wash (rice)	точить; шлифовать; рыскать; точить; полировать; мыть (рис)
刺	とげ	toge	thorn, splinter, spine, biting words	шип; осколок; заноза
遂げる	とげる	togeru	to accomplish, to achieve, to carry out	выполнить; достичь; осуществить
床	とこ	toko	bed, sickbed, alcove, padding	кровать; постель; ниша
所が	ところが	tokoroga	however, while, even if	однако; в то время как; даже если
所で	ところで	tokorode	by the way, even if, no matter what	кстати; даже если; несмотря ни на что
年頃	としごろ	toshigoro	age, marriageable age, age of puberty, adolescence, for some years	возраст,возрастные рамки; брачный возраст
年寄り	としより	toshiyori	old people, the aged	старики; в возрасте
戸締り	とじまり	tojimari	closing up, fastening the doors	запирание дверей
途上	とじょう	tojou	en route, half way	в пути; на полпути
綴じる	とじる	tojiru	to bind, to file	связывать; переплетать
途絶える	とだえる	todaeru	to stop, to cease, to come to an end	остановить; прекратить; прийти к концу
特許	とっきょ	tokkyo	special permission, patent	специальное разрешение; патент
疾っくに	とっくに	tokkuni	long ago, already, a long time ago	давно
特権	とっけん	tokken	privilege, special right	привилегия; специальное право
咄嗟	とっさ	tossa	moment, instant	момент; мгновенно
取っ手	とって	totte	handle, grip, knob	ручка; рукоятка
突破	とっぱ	toppa	breaking through, breakthrough, penetration	пробив; прорыв; проникновение
突如	とつじょ	totsujo	suddenly, all of a sudden	вдруг; внезапно
迚も	とても	totemo	very, awfully, exceedingly	очень; чрезвычайно
整える	ととのえる	totonoeru	to put in order, to get ready, to arrange, to adjust	привести в порядок; подготовиться; организовать; отрегулировать
届け	とどけ	todoke	report, notification, registration	отчет; уведомление; регистрация
滞る	とどこおる	todokooru	to stagnate, to be delayed	накапливаться (о недоделанном); запаздывать; застревать; быть просроченным
止まる	とどまる	todomaru	to be limited to	ограничиваться
留める/止める	とどめる	todomeru	to stop, to cease, to put an end to	остановить; прекратить; положить конец
唱える	となえる	tonaeru	to recite, to chant, to call upon	читать; петь; призывать
兎に角	とにかく	tonikaku	anyhow, at any rate, anyway, somehow or other, generally speaking, in any case	во всяком случае; так или иначе; вообще говоря
殿様	とのさま	tonosama	feudal lord	феодал
幕	とばり	tobari	curtain, bunting, act (in play)	занавес; акт (в игре)
帳	とばり	tobari	curtain	занавес
扉	とびら	tobira	door, opening	дверь; открытие
徒歩	とほ	toho	walking, going on foot	ходьба
乏しい	とぼしい	toboshii	meagre, scarce, limited, destitute, hard up, scanty, poor	скудный; бедный
富	とみ	tomi	wealth, fortune	богатство; удача
富む	とむ	tomu	to be rich, to become rich	быть богатым
兎も角	ともかく	tomokaku	anyhow, anyway, somehow or other, generally speaking, in any case	во всяком случае; так или иначе; вообще говоря
共稼ぎ	ともかせぎ	tomokasegi	working together, (husband and wife) earning a living together	зарабатывать обоим (о муже и жене)
灯	ともしび	tomoshibi	light	свет (от светильника)
伴う	ともなう	tomonau	to accompany, to bring with, to be accompanied by, to be involved in	сопровождать
共働き	ともばたらき	tomobataraki	dual income	двойной доход
捕らえる	とらえる	toraeru	to seize, to grasp, to capture, to arrest	ухватиться; схватить; поймать; захватить
取りあえず	とりあえず	toriaezu	at once, first of all, for the time being	сразу; в первую очередь
取り扱い	とりあつかい	toriatsukai	treatment, service, handling, management	лечение; обслуживание; управление
取り扱う	とりあつかう	toriatsukau	to treat, to handle, to deal in	обращаться,обходиться с кем-чем-л.; относиться к кому-чему-л.; обращаться с чем-л.
鳥居	とりい	torii	torii (Shinto shrine archway)	тории (ворота при входе в синтоистский храм)
取り替え	とりかえ	torikae	swap, exchange	обмен
取り組む	とりくむ	torikumu	to tackle, to wrestle with, to engage in a bout, to come to grips with	спорт. встречаться с кем-л. (в поединке); серьёзно взяться (за какую-л. задачу)
取り締まり	とりしまり	torishimari	control, management, supervision	контроль; управление
取り締まる	とりしまる	torishimaru	to manage, to control, to supervise	управлять; контролировать;
取り調べる	とりしらべる	torishiraberu	to investigate, to examine	исследовать; изучать
取り立てる	とりたてる	toritateru	to collect, to extort, to appoint, to promote	взимать; собирать; назначать (на должность); покровительствовать; опекать
取り次ぐ	とりつぐ	toritsugu	to act as an agent for, to announce (someone), to convey (a message)	действовать в качестве агента; объявить (кого-то); передавать (сообщение)
取り除く	とりのぞく	torinozoku	to remove, to take away, to set apart	удалить; забрать; отделить
取り引き	とりひき	torihiki	transactions, dealings, business	сделка; бизнес
取り巻く	とりまく	torimaku	to surround, to circle, to enclose	окружить
取り混ぜる	とりまぜる	torimazeru	to mix, to put together	перемешать; положить вместе
取り戻す	とりもどす	torimodosu	to take back, to regain	чтобы забрать; чтобы восстановить
取り寄せる	とりよせる	toriyoseru	to order, to send away for	заказывать; посылать за
取り分	とりわけ	toriwake	especially, above all	особенно; прежде всего
蕩ける	とろける	torokeru	to be enchanted with	растапливать; плавить; очаровывать
	とんだ	tonda	terrible, awful, serious, preposterous, absolutely not	неожиданный; поразительный; ужасный; скандальный
胴	どう	dou	trunk, body, frame	туловище; торс; корпус; каркас
働	どう	dou	work, labor	работа; труд
同	どう	dou	the same, the said, ibid.	то же самое
同意	どうい	doui	agreement, consent, same meaning, same opinion, approval	соглашение; согласие; тот же смысл; одобрение
動員	どういん	douin	mobilization	мобилизация
同感	どうかん	doukan	agreement, same opinion, same feeling, sympathy, concurrence	cоглашение; симпатия; совпадение
動機	どうき	douki	motive, incentive	мотив; стимул
同級	どうきゅう	doukyuu	the same grade, same class	того же класса,порядка
