嗚呼	ああ	aa	Ах!; О!; Увы !
正当	せいとう	seitou	просто; оправданно; справедливо; разумно; законно 
成年	せいねん	seinen	совершеннолетний
制服	せいふく	seifuku	форма
征服	せいふく	seifuku	завоевание; покорение; преодоление
製法	せいほう	seihou	способ изготовления; рецепт; формула
精密	せいみつ	seimitsu	выверенный; точный; подробный
声明	せいめい	seimei	декларация; заявление; провозглашение
姓名	せいめい	seimei	полное имя
制約	せいやく	seiyaku	ограничение; состояние
生理	せいり	seiri	физиология; менструация
勢力	せいりょく	seiryoku	влияние; власть; мощь; сила; энергия
整列	せいれつ	seiretsu	стоять в ряд; образовывать линию
急かす	せかす	sekasu	торопить
伜	せがれ	segare	(мой) сын
責務	せきむ	sekimu	обязанность; обязательство
世辞	せじ	seji	лесть; комплимент
世帯	せたい	setai	семья
世代	せだい	sedai	поколение; мир; возраст
切開	せっかい	sekkai	разрез; вскрытие
接触	せっしょく	sesshoku	прикосновение
設置	せっち	secchi	создание; учреждение
折衷	せっちゅう	secchuu	компромисс; смешивание; эклектика
設定	せってい	settei	создание 
説得	せっとく	settoku	убеждение
節	せつ	setsu	узел; раздел; повод; время
切実	せつじつ	setsujitsu	настоятельный; насущный; неотложный
接続詞	せつぞくし	setsuzokushi	соединение
切ない	せつない	setsunai	тяжёлый; мучительный
設立	せつりつ	setsuritsu	создание; фундамент; учреждение
攻め	せめ	seme	нападение; преступление
世論	せろん	seron	общественное мнение
仙	せん	sen	отшельник; мастер
前	せん	sen	до
繊維	せんい	seni	волокна; текстиль
選挙	せんきょ	senkyo	выборы
宣教	せんきょう	senkyou	религиозная миссии
宣言	せんげん	sengen	декларация; провозглашение; объявление
先行	せんこう	senkou	предыдущий
選考	せんこう	senkou	отбор; селекция
戦災	せんさい	sensai	повреждение от войны
専修	せんしゅう	senshuu	специализация
戦術	せんじゅつ	senjutsu	тактика
潜水	せんすい	sensui	дайвинг
先先月	せんせんげつ	sensengetsu	позапрошлый месяц
先先週	せんせんしゅう	sensenshuu	позапрошлая неделя
先代	せんだい	sendai	предыдущее поколение
先だって	せんだって	sendatte	недавно; на днях
先着	せんちゃく	senchaku	первый заезд
先天的	せんてんてき	sententeki	априори; врожденный; присущий 
戦闘	せんとう	sentou	бой; борьба; 
潜入	せんにゅう	sennyuu	вторжение
船舶	せんぱく	senpaku	корабль
専用	せんよう	senyou	специальный; для личного пользования
占領	せんりょう	senryou	оккупация; захват 
戦力	せんりょく	senryoku	военный потенциал
税務署	ぜいむしょ	zeimusho	налоговая служба
是正	ぜせい	zesei	коррекция; пересмотр
絶版	ぜっぱん	zeppan	прекращение печати
絶望	ぜつぼう	zetsubou	отчаяние; безнадежность
是非とも	ぜひとも	zehitomo	всеми средствами 
膳	ぜん	zen	(японский) стол; поднос; еда
禅	ぜん	zen	Дзен (буддизм)
全快	ぜんかい	zenkai	полное восстановление здоровья
全盛	ぜんせい	zensei	процветание
前提	ぜんてい	zentei	преамбула; помещение; причина; условие
前途	ぜんと	zento	перспективы; прогноз 
全滅	ぜんめつ	zenmetsu	полное уничтожение
善良	ぜんりょう	zenryou	доброта; добродетель
前例	ぜんれい	zenrei	прецедент
僧	そう	sou	монах; священник
沿う	そう	sou	следовать
添う	そう	sou	сопровождать; выдавать замуж; соблюдать
総	そう	sou	целый; весь; полный
相応	そうおう	souou	пригодность; подходящесть
総会	そうかい	soukai	общее собрание
創刊	そうかん	soukan	начало выпуска (например газеты); первый номер
送金	そうきん	soukin	перевод денег; отпрака денег
走行	そうこう	soukou	пробег (автомобиля и т.п.)
総合	そうごう	sougou	синтез; интеграция; соединение
捜査	そうさ	sousa	поиск (особенно в уголовных расследованиях); расследование
捜索	そうさく	sousaku	поиск 
然うして	そうして	soushite	и; как и
装飾	そうしょく	soushoku	орнамент
操縦	そうじゅう	soujuu	менеджмент; управление; контроль
創造	そうぞう	souzou	создание
壮大	そうだい	soudai	великолепный; великий; величественный
騒動	そうどう	soudou	борьба; бунт; мятеж
遭難	そうなん	sounan	катастрофа; крушение; авария
相場	そうば	souba	рыночная цена; спекуляция; оценка
装備	そうび	soubi	оборудование
創立	そうりつ	souritsu	создание; основатель; организация
添える	そえる	soeru	добавление; сопровождение; подражать
即座に	そくざに	sokuzani	немедленно; сразу же
促進	そくしん	sokushin	продвижение по службе; ускорение; поощрение; содействие 
即する	そくする	sokusuru	соответствовать; согласиться с; быть адаптированным; основываться на
束縛	そくばく	sokubaku	сдержанность; ограничение; связывание
側面	そくめん	sokumen	сторона; фланг 
其処	そこ	soko	здесь
其処で	そこで	sokode	так (союз); соответственно; сейчас; то 
損なう	そこなう	sokonau	вредить; ранить; повреждать
其処ら	そこら	sokora	везде; где-то; примерно там
素材	そざい	sozai	сырье; материалы
阻止	そし	soshi	блокировка; сдерживание
然して	そして	soshite	и
訴訟	そしょう	soshou	судебный процесс 
育ち	そだち	sodachi	разведение; рост
措置	そち	sochi	мера; шаг
其方	そちら	sochira	там; другой
素っ気ない	そっけない	sokkenai	резкий; грубый; холодный
率直	そっちょく	socchoku	откровенность; искренность 
外方	そっぽ	soppo	прост. другая сторона (направление)
備え付ける	そなえつける	sonaetsukeru	обеспечить; предоставить; оборудовать 
備わる	そなわる	sonawaru	быть оборудованым; владеть; быть среди; быть одним из; обладать
園	その	sono	сад; парк; плантации
その上	そのうえ	sonoue	кроме того
その内	そのうち	sonouchi	в конце концов; рано или поздно; из ранее упомянутых
その為	そのため	sonotame	таким образом; по этой причине
その外	そのほか	sonohoka	кроме того; в дополнение
其の儘	そのまま	sonomama	без изменений; как сейчас
聳える	そびえる	sobieru	выситься; возвышаться
素朴	そぼく	soboku	простота; безыскусность; наивность
染まる	そまる	somaru	красить
背く	そむく	somuku	противоречить; не подчиняться; идти против
染める	そめる	someru	окрасить
逸らす	そらす	sorasu	отвернуться; предотвратить
反り	そり	sori	кривизна; искривление 
其れ	それ	sore	это 
其れから	それから	sorekara	а затем; после чего
各々	それぞれ	sorezore	каждый; каждый; либо; соответственно; по отдельности
其れで	それで	sorede	и; в этой связи; из-за этого
其れでは	それでは	soredeha	в этой ситуации; а потом ...
其れでも	それでも	soredemo	но (еще); и все же; тем не менее; даже в этом случае; несмотря на
其れ共	それとも	soretomo	или; иначе
其れに	それに	soreni	кроме того; кроме того
其れ程	それほど	sorehodo	до такой степени; степени
其れ故	それゆえ	soreyue	поэтому; по этой причине; так
揃い	そろい	soroi	комплектность; комплект; посещаемость (лекций и т.п.)
徐々	そろそろ	sorosoro	постепенно; неуклонно; спокойно; не спеша; в ближайшее время
損失	そんしつ	sonshitsu	потеря
存続	そんぞく	sonzoku	продолжительность; продолжение
沿い	ぞい	zoi	вместе
像	ぞう	zou	статуя; изображение; рисунок; фотография; портрет
増強	ぞうきょう	zoukyou	увеличить; усилить 
蔵相	ぞうしょう	zoushou	министр финансов
増進	ぞうしん	zoushin	содействие; увеличение
	ぞんざい	zonzai	грубо; небрежно; неряшливо
他意	たい	tai	злая воля; злоба; другое намерение; тайная цель
対応	たいおう	taiou	взаимодействие; переписка; справиться с; имеем дело с
退化	たいか	taika	дегенерация; регресс
体格	たいかく	taikaku	телосложение; конституция
大概	たいがい	taigai	в общем; в основном
退学	たいがく	taigaku	бросить школу
大金	たいきん	taikin	большая стоимость
待遇	たいぐう	taiguu	лечение; прием
対決	たいけつ	taiketsu	противостояние; противостояние
体験	たいけん	taiken	личный опыт
対抗	たいこう	taikou	оппозиция; антагонизм
対して	たいして	taishite	для; в отношении; в
大衆	たいしゅう	taishuu	общественность
対処	たいしょ	taisho	браться за что-л.; справляться с чем-л.
退職	たいしょく	taishoku	выход на пенсию
退治	たいじ	taiji	истребление
態勢	たいせい	taisei	отношение; условия; препараты
対談	たいだん	taidan	обсуждение; диалог; разговор
対等	たいとう	taitou	эквивалент
滞納	たいのう	tainou	задержка (внесения налога и т.п.); неуплата в срок
対比	たいひ	taihi	контраст; сравнение
大部	たいぶ	taibu	наиболее; большая часть
対辺	たいへん	taihen	противоположная сторона
待望	たいぼう	taibou	ожидания
怠慢	たいまん	taiman	халатность; промедление; беспечность
対面	たいめん	taimen	интервью; встреча
対立	たいりつ	tairitsu	противостояние; оппозиция; антагонизм
体力	たいりょく	tairyoku	физическая сила
対話	たいわ	taiwa	интерактивный; взаимодействие; беседа; диалог
耐える	たえる	taeru	вынести; выддержать
絶える	たえる	taeru	вымирать; иссякать; прекращаться
堪える	たえる	taeru	вынести; выстоять; вытерпеть; смириться с; противостоять; сопротивляться; быть пригодными для 
高	たか	taka	количество; размер; объем; количество; сумма денег
高まる	たかまる	takamaru	расти; возрастать; увеличиваться
焚火	たきび	takibi	(открытый) огонь; костер
沢山	たくさん	takusan	многие; много
逞しい	たくましい	takumashii	дородный; сильные; крепкие
巧み	たくみ	takumi	мастерство; ловкость
類	たぐい	tagui	своего рода
丈	たけ	take	высота; рост; длина; мера; все (один имеет)
足し算	たしざん	tashizan	дополнение
多数決	たすうけつ	tasuuketsu	принцип большинства
助け	たすけ	tasuke	помощь
携わる	たずさわる	tazusawaru	участвовать
漂う	ただよう	tadayou	плавать; висеть в воздухе
館	たち	tachi	особняк; небольшой замок
立方	たちかた	tachikata	танцоры
忽ち	たちまち	tachimachi	сразу; в один миг; вдруг; все сразу
立ち寄る	たちよる	tachiyoru	зайти; заглянуть
達者	たっしゃ	tassha	здоровый; крепкий
達成	たっせい	tassei	достижение
	たった	tatta	только; просто; не более
尊い/貴い	たっとい	tattoi	драгоценный; ценный; бесценный; благородный; возвышенный; священное
尊ぶ	たっとぶ	tattobu	ценить; почитать
絶つ	たつ	tatsu	разорвать; отрезать; подавить; воздерживаться (от)
盾	たて	tate	щит
建前	たてまえ	tatemae	лицо; официальная позиция; общественная позиция или отношение 
奉る	たてまつる	tatematsuru	предложить; представить; почтить; сделать с уважением
例え/仮令	たとえ	tatoe	например; даже если; тем не менее; хотя
他動詞	たどうし	tadoushi	переходный глагол (с прямым объектом)
辿り着く	たどりつく	tadoritsuku	наконец добраться до цели (после долгого и трудного пути)
辿る	たどる	tadoru	следовать (по дороге); следить за
掌	たなごころ	tanagokoro	ладонь
楽しむ	たのしむ	tanoshimu	веселиться
頼み	たのみ	tanomi	запрос; одолжение
煙草	たばこ	tabako	табак; сигареты
度々	たびたび	tabitabi	часто; неоднократно
他方	たほう	tahou	другое направление; с другой стороны
多忙	たぼう	tabou	сильная занятость
給う	たまう	tamau	получать; предоставлять
偶に	たまに	tamani	иногда 
堪らない	たまらない	tamaranai	невыносимо 
溜まり	たまり	tamari	место сбора; зал ожидания; стоянка
賜る	たまわる	tamawaru	предоставить; даровать
例	ためし	tameshi	пример; случай
躊躇う	ためらう	tamerau	медлить
保つ	たもつ	tamotsu	хранить; удерживать; поддерживать 
容易い	たやすい	tayasui	легко; просто; свет
多様	たよう	tayou	разнообразие 
弛み	たるみ	tarumi	слабина; ослабление 
弛む	たるむ	tarumu	ослаблять 
誰	たれ	tare	кто?
垂れる	たれる	tareru	свешивать(ся); капать
歎	たん	tan	горе; вздох; плач
反	たん	tan	рулон ткани (ок. 10 ярдов); 0,245 акров; 300 цубо
単一	たんいつ	tanitsu	один; простой; единственным; индивидуальный
短歌	たんか	tanka	танка; 31 - слоговой японский стих
担架	たんか	tanka	носилки; мусор
短気	たんき	tanki	вспыльчивость
探検	たんけん	tanken	разведка; экспедиция
短縮	たんしゅく	tanshuku	сокращение; аббревиатура 
箪笥	たんす	tansu	комод
炭素	たんそ	tanso	углерод 
短大	たんだい	tandai	двухгодичный колледж 
単調	たんちょう	tanchou	однообразие; монотонность
単独	たんどく	tandoku	единственный; независимый; один 
短波	たんぱ	tanpa	короткая радиоволна
蛋白質	たんぱくしつ	tanpakushitsu	белок
第	だい	dai	префикс порядковых числительных
第一	だいいち	daiichi	первый; в первую очередь; № 1
大胆	だいたん	daitan	смелый; дерзкий
台無し	だいなし	dainashi	свести на нет; уничтожить; угробить
大便	だいべん	daiben	кал; испражнения
代弁	だいべん	daiben	оплата по доверенности
台本	だいほん	daihon	сценарий
代用	だいよう	daiyou	замена
打開	だかい	dakai	выход из положения; разрешение вопроса
妥協	だきょう	dakyou	компромисс 
丈	だけ	dake	только; просто 
妥結	だけつ	daketsu	соглашение
打撃	だげき	dageki	удар; шок; повреждение
駄作	ださく	dasaku	плохая работа 
脱出	だっしゅつ	dasshutsu	побег
脱する	だっする	dassuru	освобождаться от чего-л.; спасаться от чего-л; избегать
脱退	だったい	dattai	отделение
	だぶだぶ	dabudabu	свободно; вяло
騙す	だます	damasu	обмануть 
	だらけ	darake	прост. суф. полный чего-л.; кишащий чем-л.
怠い	だるい	darui	вялый; чувствовать себя тяжелым; томный
壇	だん	dan	платформа; подиум; трибуна 
団結	だんけつ	danketsu	единство; союз; сочетание
断言	だんげん	dangen	декларация; утверждение
断然	だんぜん	danzen	твердо; абсолютно; безусловно; 
段々	だんだん	dandan	постепенно; постепенно
旦那	だんな	danna	хозяин; муж 
断面	だんめん	danmen	поперечное сечение
弾力	だんりょく	danryoku	эластичность; гибкость
治安	ちあん	chian	общественный порядок
近付く	ちかづく	chikazuku	подойти; приблизиться
違える	ちがえる	chigaeru	меняться
契る	ちぎる	chigiru	обещать; клясться
畜産	ちくさん	chikusan	животноводство
畜生	ちくしょう	chikushou	зверь; скотина 
蓄積	ちくせき	chikuseki	накопление
知性	ちせい	chisei	интеллект
乳	ちち	chichi	молоко; грудь; вымя
父母	ちちはは	chichihaha	родители
縮まる	ちぢまる	chijimaru	укоротить; сокращаться
窒息	ちっそく	chissoku	удушение
些とも	ちっとも	chittomo	когда-нибудь; при случае
秩序	ちつじょ	chitsujo	порядок; регулярность; система; способ
知的	ちてき	chiteki	интеллектуальный
著	ちゃく	chaku	счетное слово для одежды; прибытие в ..
着手	ちゃくしゅ	chakushu	посадка; запуск
着色	ちゃくしょく	chakushoku	расцветка
着席	ちゃくせき	chakuseki	место
着目	ちゃくもく	chakumoku	внимание
着陸	ちゃくりく	chakuriku	приземление; посадка
着工	ちゃっこう	chakkou	начало работы
茶の間	ちゃのま	chanoma	гостиная (в японскои стиле)
茶の湯	ちゃのゆ	chanoyu	чайная церемония
	ちやほや	chiyahoya	баловать; носиться с 
昼間	ちゅうかん	chuukan	день; в течение дня
宙返り	ちゅうがえり	chuugaeri	сальто 
中継	ちゅうけい	chuukei	реле; трансляция
忠告	ちゅうこく	chuukoku	совет; предупреждение
中指	ちゅうし	chuushi	средний палец
中傷	ちゅうしょう	chuushou	клевета; диффамация
忠実	ちゅうじつ	chuujitsu	верность; верность
中枢	ちゅうすう	chuusuu	центр; стержень; опора; ядро; костяк; столб
抽選	ちゅうせん	chuusen	лотерея
中断	ちゅうだん	chuudan	прерывание; перерыв
中腹	ちゅうっぱら	chuuppara	раздражаться; обижаться
中毒	ちゅうどく	chuudoku	отравление
仲人	ちゅうにん	chuunin	сват; сваха
昼飯	ちゅうはん	chuuhan	обед
中立	ちゅうりつ	chuuritsu	нейтральность
中和	ちゅうわ	chuuwa	нейтрализовать; противодействовать
腸	ちょう	chou	кишки; кишечник
蝶	ちょう	chou	бабочка
超	ちょう	chou	супер-; ультра-; гипер-
庁	ちょう	chou	правительственное ведомство; учреждение
調印	ちょういん	chouin	подпись; знак; герметизация
聴覚	ちょうかく	choukaku	слух
長官	ちょうかん	choukan	начальник
聴講	ちょうこう	choukou	посещаемость лекций 
徴収	ちょうしゅう	choushuu	сбор
聴診器	ちょうしんき	choushinki	стетоскоп
挑戦	ちょうせん	chousen	вызов (на поединок,соревнование и т.п.) 
長大	ちょうだい	choudai	очень долго; большая длина
調停	ちょうてい	choutei	арбитраж; посредничество
恰度	ちょうど	choudo	просто; не так ли; точно
長編	ちょうへん	chouhen	сокр. роман; полнометражный фильм
丁目	ちょうめ	choume	район города; городской квартал 
調理	ちょうり	chouri	кулинария
調和	ちょうわ	chouwa	гармония
	ちょくちょく	chokuchoku	часто; время от времени
直面	ちょくめん	chokumen	конфронтация
著書	ちょしょ	chosho	литературное произведение; книга
貯蓄	ちょちく	chochiku	экономия
直感	ちょっかん	chokkan	интуиция
一寸	ちょっと	chotto	немножко,чуточку; на минутку
著名	ちょめい	chomei	хорошо известно; отметил; отмечается
	ちらっと	chiratto	на первый взгляд; случайно
塵取り	ちりとり	chiritori	совок для мусора
治療	ちりょう	chiryou	лечение
賃金	ちんぎん	chingin	заработная плата
沈殿	ちんでん	chinden	отложение; осаждение
沈没	ちんぼつ	chinbotsu	 затопление
沈黙	ちんもく	chinmoku	тишина; скрытность
陳列	ちんれつ	chinretsu	выставка; шоу
追及	ついきゅう	tsuikyuu	догнать; нагнать; добиваться
追跡	ついせき	tsuiseki	погоня
次いで	ついで	tsuide	далее; впоследствии
追放	ついほう	tsuihou	изгнание 
費やす	ついやす	tsuiyasu	посвятить; тратить
墜落	ついらく	tsuiraku	падение (самолёта и т.п.)
通	つう	tsuu	счетное слово для писем
痛感	つうかん	tsuukan	чувствовать остро
通常	つうじょう	tsuujou	вообще; как правило; 
痛切	つうせつ	tsuusetsu	острый
杖	つえ	tsue	тростник
遣い	つかい	tsukai	простая задача
使い道	つかいみち	tsukaimichi	использование
仕える	つかえる	tsukaeru	служить; работать на
司る	つかさどる	tsukasadoru	править; управлять
束の間	つかのま	tsukanoma	момент; краткое время
付き	つき	tsuki	удача; везение; в связи с тем
付き合う	つきあう	tsukiau	поддерживать знакомство отношения
月並み	つきなみ	tsukinami	каждый месяц 
尽きる	つきる	tsukiru	иссякать; исчерпываться; истекать (о времени)
継ぎ目	つぎめ	tsugime	точка соединения
吐く	つく	tsuku	дышать; сказать (ложь); рвать; извергать
尽くす	つくす	tsukusu	заканчиваться; исчерпываться; прийти к концу
作り	つくり	tsukuri	макияж; нарезанная сырая рыба
造り	つくり	tsukuri	изготовление; конструкция; телосложение
造る	つくる	tsukuru	сделать; создать; разработать; писать; сочинять; построить; выдумать 
繕う	つくろう	tsukurou	исправить; починить; залатать; штопать; привести в порядок 
接ぐ	つぐ	tsugu	присоединиться; собрать воедино; установить
継ぐ	つぐ	tsugu	быть преемником; наследовать; чинить; 
付け加える	つけくわえる	tsukekuwaeru	положить одну вещь на другую
告げる	つげる	tsugeru	сообщить
辻褄	つじつま	tsujitsuma	согласованность и последовательность действий
途中	つちゅう	tsuchuu	на пути; по пути
突っ張る	つっぱる	tsupparu	упираться; подпирать
筒	つつ	tsutsu	трубы; трубки
銃	つつ	tsutsu	пистолет
突く	つつく	tsutsuku	засунуть; ударить; атаковать; подтолкнуть
慎む	つつしむ	tsutsushimu	быть осторожным; быть целомудренным,сдержанным
伝言	つてごと	tsutegoto	устное послание; слух; слово
勤まる	つとまる	tsutomaru	подходить; годиться; справляться с работой
勤め先	つとめさき	tsutomesaki	место работы
努めて	つとめて	tsutomete	работай!
津波	つなみ	tsunami	цунами; приливная волна
抓る	つねる	tsuneru	ущипнуть
募る	つのる	tsunoru	вербовать; объявлять набор; усиливаться; принимать острый характер
唾	つば	tsuba	слюна 
呟く	つぶやく	tsubuyaku	бормотать 
瞑る	つぶる	tsuburu	закрыть глаза
壷	つぼ	tsubo	горшок; кувшин; сосуд
蕾	つぼみ	tsubomi	бутон; цветок бутон
躓く	つまずく	tsumazuku	наткнуться; к поездке
摘む	つまむ	tsumamu	споткнуться; оступиться; сделать неверный шаг
詰らない	つまらない	tsumaranai	незначительный; скучный; пустяковый
詰まり	つまり	tsumari	в двух словах; другими словами; то есть; в конечном счете; в конце концов; блокада; начинка 
積もり	つもり	tsumori	намерение; план
露	つゆ	tsuyu	роса
強まる	つよまる	tsuyomaru	усиливаться
強める	つよめる	tsuyomeru	укреплять; усиливать
連なる	つらなる	tsuranaru	расширить; растянуться; встать в один ряд
貫く	つらぬく	tsuranuku	пройти
連ねる	つらねる	tsuraneru	перейти по ссылке; присоединиться; ставить в ряд; образовывать цепь
釣り	つり	tsuri	рыбалка; 
吊り革	つりかわ	tsurikawa	ремень
釣鐘	つりがね	tsurigane	висячий (храмовый) колокол
吊るす	つるす	tsurusu	повесить
手当て	てあて	teate	пособие; компенсация; лечение; медицинское обслуживание
体	てい	tei	внешний вид; воздух; состояние; форма
提供	ていきょう	teikyou	предоставление; предложение
定義	ていぎ	teigi	определение
提携	ていけい	teikei	соглашение; связка; блок
体裁	ていさい	teisai	порядочность; стиль; форма; внешний вид; формат
梯子	ていし	teishi	лестница
定食	ていしょく	teishoku	комплексный обед
提示	ていじ	teiji	презентация; выставка; цитата
訂正	ていせい	teisei	коррекция; пересмотр
停滞	ていたい	teitai	застой; путы; заторы; удержание; накопление; попадая в задолженности
邸宅	ていたく	teitaku	особняк; резиденция
定年	ていねん	teinen	пенсионный возраст
堤防	ていぼう	teibou	банк; водослив
手遅れ	ておくれ	teokure	слишком поздно; запоздалое лечение
手数	てかず	tekazu	количество ходов; проблемы
手掛かり	てがかり	tegakari	контакт; тропа; запах; на руках; держать руку
手掛ける	てがける	tegakeru	в обращении; управлять; работать; чтобы поднять; ухаживать; иметь опыт работы с
手軽	てがる	tegaru	легкий; простой; неформальный; навскидку; дешевый
的	てき	teki	фамильярно-пренебрежительный суффикс лица 
適応	てきおう	tekiou	адаптация; размещение; соответствие
適宜	てきぎ	tekigi	пригодность
適性	てきせい	tekisei	способность
手際	てぎわ	tegiwa	искусство; мастерство; ловкость; исполнение; представление
手順	てじゅん	tejun	процесс; процедура; протокол
手錠	てじょう	tejou	наручники; кандалы
手近	てぢか	tejika	рядом; под рукой; знакомы
	てっきり	tekkiri	безусловно; конечно; вне всякого сомнения; 
鉄鋼	てっこう	tekkou	железо и сталь
徹する	てっする	tessuru	осознаваться; проникнуть; посвятить себя; верить в; пройти; сделать тщательно
鉄片	てっぺん	teppen	металолом
手配	てはい	tehai	подготовка; приготовления; установление распорядка
手筈	てはず	tehazu	расположение; план; программа
手引き	てびき	tebiki	руководство; внедрение
手本	てほん	tehon	модель; шаблон
手回し	てまわし	temawashi	подготовка; приготовления; сборы
手元	てもと	temoto	палочки для еды и тарелочки для накладывания
照り返す	てりかえす	terikaesu	отразить
手分け	てわけ	tewake	разделение труда
店	てん	ten	магазин; учреждение
点火	てんか	tenka	зажигание; освещение
転回	てんかい	tenkai	революция; переворот
転換	てんかん	tenkan	поворот к чему-л.; переход к чему-л.; перевод на что-л.; конверсия
転居	てんきょ	tenkyo	изменение места жительства
転勤	てんきん	tenkin	передача; передача
点検	てんけん	tenken	осмотр; обследование; проверка
転校	てんこう	tenkou	переход в другую школу
天国	てんごく	tengoku	рай
天才	てんさい	tensai	гений; природный дар
天災	てんさい	tensai	стихийное бедствие; катастрофа
展示	てんじ	tenji	выставка; показ
天井	てんじょう	tenjou	потолок
転じる	てんじる	tenjiru	в свою очередь; переложить; чтобы изменить; чтобы отвлечь
点線	てんせん	tensen	пунктирная линия; перфорированная линия
天体	てんたい	tentai	небесное тело
転転/転々	てんてん	tenten	переходить из рук в руки; переходить с места на место
	てんで	tende	(не) вообще; в целом; полностью
転任	てんにん	tennin	перевод на работу в другое учреждение (на другую должность)
展望	てんぼう	tenbou	вид; мировоззрение; перспектива
転落	てんらく	tenraku	падение; деградация; 
出合う/出くわす	であう/でくわす	deau/ dekuwasu	встретиться случайно; произойти; столкнуться; провести свидание 
出入り口	でいりぐち	deiriguchi	выход и вход
	でかい	dekai	огромный
出来物	できもの	dekimono	нарыв; волдырь; опухоль; превосходно сделанная вещь; выдающийся человек
出切る	できる	dekiru	закончиться; не остаться; целиком выйти
出鱈目	でたらめ	detarame	ерунда; бессмыслица; случайный; бессистемный 
出直し	でなおし	denaoshi	регулировка
田園	でんえん	denen	поля и сады; деревня; сельская местность
電源	でんげん	dengen	источник электроэнергии
伝説	でんせつ	densetsu	традиция; легенда; фольклор
電線	でんせん	densen	электрическая линия
伝達	でんたつ	dentatsu	передача (информации); распространение (звука и т.п.)
伝来	でんらい	denrai	передача по наследству; из поколения в поколение,наследование
	と	to	если (союз) 
問い合わせる	といあわせる	toiawaseru	запрашивать; искать информацию
問屋	といや	toiya	оптовый склад
問う	とう	tou	спросить; на вопрос; обвинять; не придавать значения
棟	とう	tou	место; раздел; здание
等	とう	tou	и т.д.; и тому подобное
陶器	とうき	touki	керамика
等級	とうきゅう	toukyuu	класс 
討議	とうぎ	tougi	дебаты; обсуждение
登校	とうこう	toukou	посещаемость (в школе)
統合	とうごう	tougou	интеграция; объединение; синтез
倒産	とうさん	tousan	банкротство; разориться; обанкротиться
投資	とうし	toushi	инвестиции
統治	とうじ	touji	управление; правление
統制	とうせい	tousei	регулирование; контроль
当選	とうせん	tousen	избрание
逃走	とうそう	tousou	бегство; дезертирство; побег
統率	とうそつ	tousotsu	командование; руководство
到達	とうたつ	toutatsu	достижение; прибытие
到底	とうてい	toutei	с отриц. совершенно,абсолютно (о невозможности и т.п.)
丁々	とうとう	toutou	звон (мечей,топора); вырубка деревьев
投入	とうにゅう	tounyuu	вкладывание; вбрасывание; внесение
当人	とうにん	tounin	данное лицо; этот человек
逃亡	とうぼう	toubou	побег
冬眠	とうみん	toumin	спячка
登録	とうろく	touroku	регистрация; вход; запись
討論	とうろん	touron	дебаты; обсуждение
遠ざかる	とおざかる	toozakaru	удаляться; отдаляться; держаться на расстоянии
遠回り	とおまわり	toomawari	объезд; окольный путь
通りかかる	とおりかかる	toorikakaru	пройти мимо
兎角	とかく	tokaku	часто; обычно; обыкновенно
咎める	とがめる	togameru	укорять; порицать; придираться; воспаляться
時折	ときおり	tokiori	иногда
跡切れる	とぎれる	togireru	сделать паузу; прервать
説く	とく	toku	объяснить; выступить; чтобы проповедовать; чтобы убедить
特技	とくぎ	tokugi	специальные навыки
特産	とくさん	tokusan	специальный продукт
特集	とくしゅう	tokushuu	специальный выпуск 
得点	とくてん	tokuten	полученные отметки; спорт. очки,счет (га най счет ноль-ноль)
特派	とくは	tokuha	специальная командировка
特有	とくゆう	tokuyuu	характерный; свойственный
研ぐ	とぐ	togu	точить; шлифовать; рыскать; точить; полировать; мыть (рис)
刺	とげ	toge	шип; осколок; заноза
遂げる	とげる	togeru	выполнить; достичь; осуществить
床	とこ	toko	кровать; постель; ниша 
所が	ところが	tokoroga	однако; в то время как; даже если
所で	ところで	tokorode	кстати; даже если; несмотря ни на что
年頃	としごろ	toshigoro	возраст,возрастные рамки; брачный возраст
年寄り	としより	toshiyori	старики; в возрасте
戸締り	とじまり	tojimari	запирание дверей
途上	とじょう	tojou	в пути; на полпути
綴じる	とじる	tojiru	связывать; переплетать
途絶える	とだえる	todaeru	остановить; прекратить; прийти к концу
特許	とっきょ	tokkyo	специальное разрешение; патент
疾っくに	とっくに	tokkuni	давно
特権	とっけん	tokken	привилегия; специальное право
咄嗟	とっさ	tossa	момент; мгновенно
取っ手	とって	totte	ручка; рукоятка
突破	とっぱ	toppa	пробив; прорыв; проникновение
突如	とつじょ	totsujo	вдруг; внезапно
迚も	とても	totemo	очень; чрезвычайно
整える	ととのえる	totonoeru	привести в порядок; подготовиться; организовать; отрегулировать
届け	とどけ	todoke	отчет; уведомление; регистрация
滞る	とどこおる	todokooru	накапливаться (о недоделанном); запаздывать; застревать; быть просроченным
止まる	とどまる	todomaru	ограничиваться
留める/止める	とどめる	todomeru	остановить; прекратить; положить конец
唱える	となえる	tonaeru	читать; петь; призывать
兎に角	とにかく	tonikaku	во всяком случае; так или иначе; вообще говоря
殿様	とのさま	tonosama	феодал
幕	とばり	tobari	занавес; акт (в игре)
帳	とばり	tobari	занавес
扉	とびら	tobira	дверь; открытие
徒歩	とほ	toho	ходьба
乏しい	とぼしい	toboshii	скудный; бедный
富	とみ	tomi	богатство; удача
富む	とむ	tomu	быть богатым
兎も角	ともかく	tomokaku	во всяком случае; так или иначе; вообще говоря
共稼ぎ	ともかせぎ	tomokasegi	зарабатывать обоим (о муже и жене)
