	あっ	a	Ah!;Oh!	ах
	すてき	suteki	lovely;dreamy;beautiful;great	прекрасный; удивительный
既に	すでに	sudeni	already;too late	уже
	すなわち	sunawachi	that is;namely;i.e.	то есть; а именно
素晴らしい	すばらしい	subarashii	wonderful;splendid;magnificent	замечательно; великолепный; великолепный
	スピーチ	supiichi	speech	речь
全て	すべて	subete	all;the whole;entirely;in general;wholly	все; полностью
済ませる	すませる	sumaseru	to be finished	завершать
角	すみ	sumi	horn	внутренний угол;
為る	する	suru	to change;to be of use;to reach to	делать
すると	すると	suruto	thereupon;hereupon	вслед за этим; вследствие этого
鋭い	するどい	surudoi	pointed;sharp	резкий; острый
背	せい	sei	height;stature	высота; рост
正	せい	sei	(logical) true;regular	верный; правильный
生	せい	sei	(1) draft (beer);(2) raw;unprocessed	необработанный; живой
性	せい	sei	sex;gender	пол
所為	せい	sei	cause;reason;fault	причина; вина; из-за
税	ぜい	zei	tax	налог
性格	せいかく	seikaku	character;personality	характер; личность
正確	せいかく	seikaku	accurate;punctuality;exactness;authenticity;veracity	точный; пунктуальный
世紀	せいき	seiki	century;era	век; эпоха
請求	せいきゅう	seikyuu	claim;demand;application;request	спрос; заявление; запрос
税金	ぜいきん	zeikin	tax;duty	налог; долг
清潔	せいけつ	seiketsu	clean	чистый
制限	せいげん	seigen	restriction;restraint;limitation	ограничение; сдержанность; ограничение
成功	せいこう	seikou	success;hit	успех
生産	せいさん	seisan	production;manufacture	производство
正式	せいしき	seishiki	due form;official;formality	форма; официальный; формальность
精神	せいしん	seishin	mind;soul;heart;spirit;intention	ум; душа; дух;
成人	せいじん	seijin	adult	взрослый; совершеннолетний
精々	せいぜい	seizei	at the most;at best;to the utmost;as much (far) as possible	самое большее; в лучшем случае; до предела; насколько это возможно
成績	せいせき	seiseki	results;record	результаты; запись
製造	せいぞう	seizou	manufacture;production	производство
贅沢	ぜいたく	zeitaku	luxury;extravagance	роскошь; расточительность
成長	せいちょう	seichou	growth;grow to adulthood	рост
制度	せいど	seido	system;institution;organization	учреждение; организация
青年	せいねん	seinen	youth;young man	молодежь; молодой человек
製品	せいひん	seihin	manufactured goods;finished goods	промышленные товары; готовая продукция
政府	せいふ	seifu	government;administration	правительство; администрация
生物	せいぶつ	seibutsu	raw food	сырая пища
生命	せいめい	seimei	life;existence	жизнь; существование
整理	せいり	seiri	sorting;arrangement;adjustment;regulation	сортировка; расположение; регулирование
咳	せき	seki	cough	кашель
石炭	せきたん	sekitan	coal	уголь
責任	せきにん	sekinin	duty;responsibility	обязанность; ответственность
石油	せきゆ	sekiyu	oil;petroleum;kerosene	масло; нефтяной; керосин
世間	せけん	seken	world;society	мир; общество
説	せつ	setsu	theory	теория
積極的	せっきょくてき	sekkyokuteki	positive;active;proactive	положительный; активный
設計	せっけい	sekkei	plan;design	план; дизайн
絶対	ぜったい	zettai	absolute;unconditional;absoluteness	абсолютный; безусловный
	セット	setto	set	набор
設備	せつび	setsubi	equipment;device;facilities;installation	оборудование; устройство; объекты; установка
絶滅	ぜつめつ	zetsumetsu	destruction;extinction	уничтожение; вымирание
節約	せつやく	setsuyaku	economising;saving	экономия
是非	ぜひ	zehi	certainly;without fail	конечно; обязательно
責める	せめる	semeru	to condemn;to blame;to criticize	судить; критиковать
世話	せわ	sewa	looking after;help;aid;assistance	уход; помочь;
善	ぜん	zen	good;goodness;right;virtue	благость; право; добродетель
全	ぜん	zen	all;whole;entire;complete;overall;pan	все; полная; в целом
全員	ぜんいん	zenin	all members (unanimity);all hands;the whole crew	все члены все руки; полностью
専攻	せんこう	senkou	major subject;special study	специализация
全国	ぜんこく	zenkoku	country-wide;nation-wide;whole country;national	общенациональный
先日	せんじつ	senjitsu	the other day;a few days ago	на днях; несколько дней назад
前者	ぜんしゃ	zensha	the former	бывший
選手	せんしゅ	senshu	(1) player (in game);(2) team	игрок; команда
前進	ぜんしん	zenshin	advance;drive;progress	продвижение; прогресс
全然	ぜんぜん	zenzen	(1) wholly;entirely;completely;(2) not at all (with neg. verb)	полностью
	センター	sentaa	a center	центр
全体	ぜんたい	zentai	whole;entirety;whatever (is the matter)	полнота; все
選択	せんたく	sentaku	selection;choice	отбор; выбор
そう	そう	sou	so	так
象	ぞう	zou	elephant	слон
騒音	そうおん	souon	noise	шум
増加	ぞうか	zouka	increase;addition	увеличиение; дополнение
操作	そうさ	sousa	operation;management;processing	операция; управление; обработка
掃除	そうじ	souji	cleaning;sweeping	очистка; подметание
想像	そうぞう	souzou	imagination;guess	воображение; догадка
相続	そうぞく	souzoku	succession;inheritance	преемственность; наследование
相談	そうだん	soudan	consultation;discussion	консультации; обсуждение
装置	そうち	souchi	equipment;installation;apparatus	оборудование; монтаж; аппарат
相当	そうとう	soutou	suitable;fair;tolerable;proper	справедливо; терпимо
速度	そくど	sokudo	speed;velocity;rate	скорость
底	そこ	soko	bottom;sole	пол; дно
	そこで	sokode	so (conj);accordingly;now;then;thereupon	соответственно; в этой связи
組織	そしき	soshiki	(1) organization;(2) structure;construction;(3) tissue;(4) system	организация; строительство; ткань; система
	そして	soshite	and	и
注ぐ	そそぐ	sosogu	to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)	наливать; для орошать;лить; проливать
育つ	そだつ	sodatsu	to raise (child);to be brought up;to grow (up)	поднимать (ребенка); на воспитание; расти (до)
	そっくり	sokkuri	all;altogether;entirely;be just like;the splitting image of	все; вообще; полностью; быть точно так же как
	そっと	sotto	face of the earth	поверхность земли
袖	そで	sode	sleeve	рукав
備える	そなえる	sonaeru	to furnish;to provide for;to equip;to install	оборудовать; устанавливать
	そのうち	sonouchi	eventually;sooner or later;of the previously mentioned	в конце концов; рано или поздно; из ранее упомянутых
	そのまま	sonomama	without change;as it is (i.e. now)	без изменений; как сейчас
側	そば	soba	side;edge;third person	сторона; край; рядом
	ソファー	sofaa	sofa;couch	диван; софа
粗末	そまつ	somatsu	crude;rough;plain;humble	простой; грубый;бедный
	それぞれ	sorezore	each;every;either;respectively;severally	каждый; порознь
	それでも	soredemo	but (still);and yet;nevertheless;even so;notwithstanding	и все же; тем не менее; даже в этом случае; несмотря на
	それと	soreto	To that	к тому же
	それとも	soretomo	or;or else	или
損	そん	son	loss;disadvantage	gотеря; недостаток
損害	そんがい	songai	damage;injury;loss	повреждение; травма
尊敬	そんけい	sonkei	respect;esteem;reverence;honour	уважение; достоинство; честь
存在	そんざい	sonzai	existence;being	существование
尊重	そんちょう	sonchou	respect;esteem;regard	уважение; достоинство
田	た	ta	rice field	рисовое поле
他	た	ta	other (esp. places and things)	другие (места и вещи)
対	たい	tai	pair;couple;set	пара;набор
台	だい	dai	stand;rack;table;support	подставка; стеллаж; трибуна
題	だい	dai	title;subject;theme;topic	название; предмет; тема
体育	たいいく	taiiku	physical education;gymnastics;athletics	гимнастика; легкая атлетика
体温	たいおん	taion	temperature (body)	температура
大会	たいかい	taikai	convention;tournament;mass meeting;rally	конвенция;митинг
大気	たいき	taiki	atmosphere	атмосфера
代金	だいきん	daikin	price;payment;cost;charge	цена; оплата; стоимость; заряд
退屈	たいくつ	taikutsu	tedium;boredom	скука
滞在	たいざい	taizai	stay;sojourn	остановка где-либо; пребывание
大使	たいし	taishi	ambassador	посол
大した	たいした	taishita	considerable;great;important;significant;a big deal	Значительный; великий; важно;
対象	たいしょう	taishou	target;object (of worship; study; etc);subject (of taxation; etc)	целевой объект; субъект налогообложения
大臣	だいじん	daijin	cabinet minister	член совета министров
対する	たいする	taisuru	to face;to confront;to oppose	противостоять
大戦	たいせん	taisen	great war;great battle	Великая война; великая битва
大抵	たいてい	taitei	usually;generally	обычно; как правило;
態度	たいど	taido	attitude;manner	отношение; манера
大統領	だいとうりょう	daitouryou	president;chief executive	президент; главный исполнительный
大半	たいはん	taihan	majority;mostly;generally	в основном; как правило;
代表	だいひょう	daihyou	representative;representation;delegation;type;example;model	представитель; делегация; пример; модель
大部分	だいぶぶん	daibubun	most part;greater part;majority	большинство
	タイプライター	taipuraitaa	typewriter	пишущая машинка
大変	たいへん	taihen	awful;dreadful;terrible;very	ужасно; очень
逮捕	たいほ	taiho	arrest;apprehension;capture	арест; захват
	ダイヤ	daiya	(1) dyer;(2) diagram;(3) (railway) schedule;(4) diamond	схема; график
太陽	たいよう	taiyou	sun;solar	солнце
平ら	たいら	taira	flatness;level;smooth;calm;plain	плоскость; уровень; гладкий;равнина
代理	だいり	dairi	representation;agency;proxy;deputy;agent	представительство; агентство; заместитель; агент
大陸	たいりく	tairiku	continent	континент
倒す	たおす	taosu	to throw down;to beat;to bring down;to blow down	бросить; сбить
	タオル	taoru	(hand) towel	полотенце
だが	だが	daga	but	но
互い	たがい	tagai	mutual;reciprocal	взаимный; обратный
宝	たから	takara	treasure	сокровище
だから	だから	dakara	so;therefore	так; поэтому
宅	たく	taku	house;home;husband	дом
	だけど	dakedo	however	однако
確かめる	たしかめる	tashikameru	to ascertain	выяснять
多少	たしょう	tashou	more or less;somewhat;a little;some	более или менее; несколько; немного; некоторые
助ける	たすける	tasukeru	to help;to save;to rescue	помгать; сохранять; спасать
唯	ただ	tada	free of charge;mere;sole;only;usual;common	лишь; только
戦い	たたかい	tatakai	battle;fight;struggle;conflict	битва; борьба; конфликт
戦う	たたかう	tatakau	to fight;to battle;to combat	бороться
叩く	たたく	tataku	to strike;to clap;to dust;to beat	хлопать; бить
直ちに	ただちに	tadachini	at once;immediately;directly;in person	сразу; немедленно; непосредственно
立ち上がる	たちあがる	tachiagaru	to stand up	вставать
立場	たちば	tachiba	standpoint;position;situation	точка зрения; положение; ситуация
経つ	たつ	tatsu	to pass;to lapse	проходить (о времени)
達する	たっする	tassuru	to reach;to get to	достигать; добираться до
唯	たった	tatta	free of charge;mere;sole;only;usual;common	лишь; только
	だって	datte	but;because;even;also;too	но; потому что
	たっぷり	tappuri	full;in plenty;ample	полном объеме; достаточно
縦	たて	tate	length;height	ширина; длина
	たとえ	tatoe	simile;metaphor;allegory	сравнение; пример
谷	たに	tani	valley	долина
他人	たにん	tanin	another person;unrelated person;outsider;stranger	другой человек; незнакомец
種	たね	tane	(1) seed;(2) material;(3) cause;source	семя; материал; причина; источник
束	たば	taba	handbreadth;bundle	связка; пучок
度	たび	tabi	counter for occurrences	кол-во раз
旅	たび	tabi	travel;trip;journey	путешествия; поездка
	たびたび	tabitabi	often;repeatedly;frequently	часто; неоднократно
多分	たぶん	tabun	perhaps;probably	возможно; вероятно
玉	たま	tama	ball;sphere;coin	мяч; сфера; монета
球	たま	tama	globe;sphere;ball	сфера; мяч
弾	たま	tama	bullet;shot;shell	пуля
偶	たま	tama	even number;couple;man and wife;friend	четное число; пара; муж и жена
偶々	たまたま	tamatama	casually;unexpectedly;accidentally;by chance	случайно; неожиданно
	たまらない	tamaranai	intolerable;unbearable;unendurable	невыносимо
黙る	だまる	damaru	to be silent	молчать
駄目	だめ	dame	useless;no good;hopeless	бесполезно; ничего хорошего; нельзя
試し	ためし	tameshi	trial;test	процесс; тест
試す	ためす	tamesu	to attempt;to test	пытаться; тестироваться
便り	たより	tayori	news;tidings;information;correspondence;letter	новость; весть; информация; переписка; письмо
頼る	たよる	tayoru	to rely on;to have recourse to;to depend on	полагаться на; прибегнуть к; зависеть от
誰か	だれか	dareka	someone;somebody	кто-то
段	だん	dan	step;stair;flight of steps;grade;rank;level	шаг; лестница; лестничный пролет; класс; звание; уровень
単位	たんい	tani	unit;denomination;credit (in school)	Блок; номинал; семестр (в школе)
単語	たんご	tango	word;vocabulary;(usually) single-character word	(как правило) односимвольное слово
男子	だんし	danshi	youth;young man	молодежь; молодой человек
単純	たんじゅん	tanjun	simplicity	простота
誕生	たんじょう	tanjou	birth	рождение
	ダンス	dansu	dance	танец
団体	だんたい	dantai	organization;association	организация; объединение
担当	たんとう	tantou	(in) charge	исполнение обязанностей
単なる	たんなる	tannaru	mere;simple;sheer	просто
単に	たんに	tanni	simply;merely;only;solely	просто; только
地	ち	chi	earth	земля
地位	ちい	chii	(social) position;status	(социальное) положение; статус
地域	ちいき	chiiki	area;region	площадь; область
	チーズ	chiizu	cheese	сыр
	チーム	chiimu	team	команда
知恵	ちえ	chie	wisdom;wit;sagacity;sense;intelligence;advice	мудрость; остроумие; прозорливость; смысл; интеллект
地下	ちか	chika	basement;underground	подвал; подземный
違い	ちがい	chigai	difference;discrepancy	разница; несоответствие
違いない	ちがいない	chigainai	(phrase) sure;no mistaking it;for certain	точно; без сомнения
近頃	ちかごろ	chikagoro	lately;recently;nowadays	в последнее время; недавно
地球	ちきゅう	chikyuu	the earth	земля
地区	ちく	chiku	district;section;sector	район; раздел; сектор
遅刻	ちこく	chikoku	lateness;late coming	опоздание
知事	ちじ	chiji	prefectural governor	губернатор префектуры
知識	ちしき	chishiki	knowledge;information	знание; информация
父親	ちちおや	chichioya	father	отец
知能	ちのう	chinou	intelligence;brains	способность; ум
地平線	ちへいせん	chiheisen	horizon	горизонт
地方	ちほう	chihou	area;locality;district;region;the coast	площадь; местность; район; область; побережье
茶	ちゃ	cha	tea	чай
	チャンス	chansu	chance;opportunity	шанс; возможность
	ちゃんと	chanto	perfectly;properly;exactly	прекрасно; должным образом; точно
中	ちゅう	chuu	inside;middle;among	внутри; середина; среди
注	ちゅう	chuu	annotation;explanatory note	комментарий; примечание
中央	ちゅうおう	chuuou	centre;central;center;middle	центр
中学	ちゅうがく	chuugaku	middle school;junior high school	средняя школа
中古	ちゅうこ	chuuko	(1) used;second-hand;old	бывшего употребления
中止	ちゅうし	chuushi	suspension;stoppage;discontinuance;interruption	остановка; прекращение; прерывание
駐車	ちゅうしゃ	chuusha	parking (e.g. car)	парковка
昼食	ちゅうしょく	chuushoku	lunch;midday meal	обед
中心	ちゅうしん	chuushin	center;core;heart;pivot;emphasis;balance	центр; ядро; сердце; стержень; баланс
注目	ちゅうもく	chuumoku	notice;attention;observation	уведомление; внимание; наблюдение
注文	ちゅうもん	chuumon	order;request	запрос
長期	ちょうき	chouki	long time period	долгое время
調査	ちょうさ	chousa	investigation;examination;inquiry;survey	расследование; экспертиза; запрос; опрос
調子	ちょうし	choushi	tune;tone;key	мелодия; тон; ключ
頂上	ちょうじょう	choujou	top;summit;peak	вершина; пик
	ちょうだい	choudai	(1) please do for me (preceded by -te);(2) reception;being given;get	пожалуйста; сделать для меня (предшествует форме на て); прием
貯金	ちょきん	chokin	(bank) savings	экономия
直接	ちょくせつ	chokusetsu	direct;immediate;personal;firsthand	прямой; немедленно; персональный
著者	ちょしゃ	chosha	author;writer	автор; писатель
遂に	ついに	tsuini	finally;at last	в конце концов
通過	つうか	tsuuka	passage through;passing	прохождение через; мимоходом
通学	つうがく	tsuugaku	commuting to school	посещение школы
通行	つうこう	tsuukou	passage;passing	проход; прохождение
通じる	つうじる	tsuujiru	to run to;to lead to;to communicate;to understand	вести;доходить до; быть проложенным
通信	つうしん	tsuushin	correspondence;communication;news;signal	связь; сигнал
捕まる	つかまる	tsukamaru	to be caught;to be arrested	быть пойманным; быть арестованным
掴む	つかむ	tsukamu	to seize;to catch;to grasp	захватить; поймать
疲れ	つかれ	tsukare	tiredness;fatigue	усталость
月	つき	tsuki	moon;month	луна; месяц
付き合い	つきあい	tsukiai	association;socializing;fellowship	знакомство; общение
次々	つぎつぎ	tsugitsugi	in succession;one by one	последовательно; один за другим
就く	つく	tsuku	to settle in (place);to take (seat; position);to study (under teacher)	поступать (на должность; приступать
注ぐ	つぐ	tsugu	to pour (into);to irrigate;to pay	лить; наливать
付ける	つける	tsukeru	to attach;to join;to add;to append	приложить; присоединить; добавить
土	つち	tsuchi	earth;soil	земля; почва
続き	つづき	tsuzuki	sequel;continuation	продолжение
包み	つつみ	tsutsumi	bundle;package;parcel;bale	свёрток; пакет; обёртка
勤め/務め	つとめ	tsutome	(1) service;duty;business;responsibility;task;(2) Buddhist religious services	обслуживание; обязанность;ответственность; буддийские религиозные службы
繋ぐ	つなぐ	tsunagu	to tie;to fasten;to connect;to transfer (phone call)	связывать;подключать; передавать (телефонный звонок)
常に	つねに	tsuneni	always;constantly	всегда; постоянно
翼	つばさ	tsubasa	wings	крылья
	つまり	tsumari	in short;in brief;in other words	короче говоря; в двух словах; другими словами
罪	つみ	tsumi	crime;fault;indiscretion	преступление; вина
詰める	つめる	tsumeru	to pack;to shorten;to work out (details)	упаковывать; сокращать
積もる	つもる	tsumoru	to pile up	накапливаться
梅雨	つゆ	tsuyu	rainy season;rain during the rainy season	сезон дождей
辛い	つらい	tsurai	painful;heart-breaking	тяжёлый; горький
釣	つり	tsuri	Fishing	рыбалка
連れ	つれ	tsure	companion;company	компаньон; компания
出会い	であい	deai	meeting;rendezvous;encounter	встреча
出会う	であう	deau	to meet by chance;to come across;to happen to encounter	встретиться (обычно случайно)
提案	ていあん	teian	proposal;proposition;suggestion	предложение
定期	ていき	teiki	fixed term	фиксированный срок
抵抗	ていこう	teikou	electrical resistance;resistance;opposition	электрическое сопротивление; сопротивление; оппозиция
提出	ていしゅつ	teishutsu	presentation;submission;filing	предъявление; представление;
程度	ていど	teido	degree;amount;grade;standard;of the order of (following a number)	степень; мера; уровень; пределы
停留所	ていりゅうじょ	teiryuujo	bus or tram stop	автобусная или трамвайная остановка
	デート	deeto	date;go on a date	дата; свидание
敵	てき	teki	enemy;rival	враг; сопернико
出来事	できごと	dekigoto	incident;affair;happening;event	инцидент; дело; событие
適する	てきする	tekisuru	to fit;to suit	соответствовать; удовлетворять (требованиям)
適切	てきせつ	tekisetsu	pertinent;appropriate;adequate;relevance	уместно; необходимо; адекватно; актуально
適度	てきど	tekido	moderate	умеренность
適用	てきよう	tekiyou	applying	применение
出来るだけ	できるだけ	dekirudake	if at all possible	насколько возможно
	できれば	dekireba	If possible	если это возможно
手品	てじな	tejina	sleight of hand;conjuring trick;magic;juggling	ловкость рук; уловка; жонглирование
	ですから	desukara	therefore	поэтому
鉄	てつ	tetsu	iron	железо
哲学	てつがく	tetsugaku	philosophy	философия
手伝い	てつだい	tetsudai	help;helper;assistant	помощь; помощник; ассистент
徹底	てってい	tettei	thoroughness;completeness	тщательность; полнота
鉄道	てつどう	tetsudou	railroad	железная дорога
徹夜	てつや	tetsuya	all night;all night vigil;sleepless night	вся ночь; бессонная ночь
では	では	deha	chance of going out;opportunity (to succeed);moment of departure;beginning of work	возможность выйти откуда-л.
手間	てま	tema	time;labour	время; труд
でも	でも	demo	but;however	но; однако
	デモ	demo	(abbr) demo;demonstration	демонстрация
典型	てんけい	tenkei	type;pattern;archetypal	классическая форма; образец; типовой экземпляр
天候	てんこう	tenkou	weather	погода
電子	でんし	denshi	electron	электрон
	テント	tento	tent	палатка
伝統	でんとう	dentou	tradition;convention	традиция
天然	てんねん	tennen	nature;spontaneity	природа; естественность
度	ど	do	counter for occurrences	счетчик для вхождений
問い	とい	toi	question;query	вопрос; запрос
党	とう	tou	party (political)	партия (политическая)
塔	とう	tou	tower;pagoda	башня; пагода
	どう	dou	child;servant;foolishness	ребенок
答案	とうあん	touan	examination paper;examination script	экзаменационная работа
同一	どういつ	douitsu	identity;sameness;similarity	идентичность; сходство
	どうか	douka	copper coin	медная монета
当時	とうじ	touji	at that time;in those days	в то время; в те дни
動詞	どうし	doushi	verb	глагол
同時	どうじ	douji	simultaneous(ly);concurrent;same time;synchronous	одновременно; то же время; синхронно
	どうしても	doushitemo	by all means;at any cost;no matter what	всеми средствами; любой ценой; независимо от того; что
到着	とうちゃく	touchaku	arrival	прибытие
道徳	どうとく	doutoku	morals	нравы
投票	とうひょう	touhyou	voting;poll	голосование; опрос
同様	どうよう	douyou	identical;equal to;same (kind);like	такой же; похожий
同僚	どうりょう	douryou	coworker;colleague;associate	сотрудник; коллега
道路	どうろ	douro	road;highway	дорога; шоссе
十	とお	too	10;ten	десять
通す	とおす	toosu	to let pass;to overlook;to continue	пропускать; не заметить; продолжать
通り	とおり	toori	in accordance with ~;following ~;~ Street;~ Avenue	в соответствии с ч-л; следующее ~; улица
通り過ぎる	とおりすぎる	toorisugiru	to pass;to pass through	проходить через
都会	とかい	tokai	city	город
時	とき	toki	(1) time;hour;(2) occasion;moment	время; час; момент
解く	とく	toku	to unfasten	развязывать; распускать
毒	どく	doku	poison;toxicant	яд
得意	とくい	tokui	pride;triumph;prosperity	гордость; триумф; процветание
読書	どくしょ	dokusho	reading	чтение
独身	どくしん	dokushin	bachelorhood;single;unmarried;celibate	холостой; одинарный; одинокий
特徴	とくちょう	tokuchou	feature;characteristic	функция; характеристика
独特	どくとく	dokutoku	peculiarity;uniqueness;characteristic	особенность; уникальность; характеристика
独立	どくりつ	dokuritsu	independence (e.g. Ind. Day);self-support	независимость
解ける	とける	tokeru	to come untied;to come apart	быть развязанным; распутанным
	どこか	dokoka	somewhere;anywhere	где-то
	ところが	tokoroga	however;while;even if	однако; в то время; даже если
	ところで	tokorode	by the way;even if;no matter what	кстати; даже если; независимо от того; что
登山	とざん	tozan	mountain-climbing	альпинизм
都市	とし	toshi	town;city;municipal;urban	город
年月	としつき	toshitsuki	months and years	месяцы и годы
図書	としょ	tosho	books	книги
年寄	としより	toshiyori	old people;the aged	люди в возрасте
閉じる	とじる	tojiru	to close (e.g. book; eyes);to shut	закрывать (например книгу; глаза)
途端	とたん	totan	just (now; at the moment; etc.)	сейчас; на данный момент
土地	とち	tochi	plot of land;lot;soil	земельный участок
突然	とつぜん	totsuzen	abruptly;suddenly;unexpectedly;all at once	неожиданно; все сразу
	トップ	toppu	top	топ
届く	とどく	todoku	to reach	достичь
	とにかく	tonikaku	anyhow;at any rate;anyway;somehow or other;generally speaking;in any case	во всяком случае; так или иначе; так или иначе; вообще говоря
飛ばす	とばす	tobasu	to skip over;to omit	пропустить; опустить
飛び出す	とびだす	tobidasu	to jump out;to rush out;to fly out	выпрыгнуть; выбежать; вылететь
留める	とめる	tomeru	to fasten;to turn off;to detain	останавливать; отключать; задерживать
友	とも	tomo	friend;companion;pal	друг; приятель
共に	ともに	tomoni	sharing with;participate in	обмена с; участвовать в
土曜	どよう	doyou	Saturday	суббота
虎	とら	tora	tiger	тигр
	ドライブ	doraibu	drive;trip by car;driving	поездка на автомобиле; вождение
	トラック	torakku	(1) truck;(2) (running) track	грузовик; трек
	ドラマ	dorama	drama	драма
	トランプ	toranpu	playing cards (lit; trump)	игральные карты
取り上げる	とりあげる	toriageru	to take up;to pick up;to disqualify;to confiscate;to deprive	дисквалифицировать; конфисковать; лишить
努力	どりょく	doryoku	great effort;exertion;endeavour;effort	большое усилие; напряжение; усилия
どれ	どれ	dore	well;now;let me see;which (of three or more)	межд. ну; ну-ка; который (из трех или более)
	ドレス	doresu	dress	платье
取れる	とれる	toreru	to come off;to be taken off;to be removed	быть взятым; полученным
泥	どろ	doro	mud	грязь
	とん	ton	ton	тонна
	とんでもない	tondemonai	unexpected;offensive;What a thing to say!;No way!	нелепый; ужасный; возмутительный; неожиданный; невероятный;
	どんな	donna	what;what kind of	что; какие
	どんなに	donnani	how;how much	как; сколько
	トンネル	tonneru	tunnel	туннель
名	な	na	name;reputation	имя; название
内容	ないよう	naiyou	subject;contents;matter;substance;detail;import	содержание; содержимое
	なお	nao	straight;mischief;ordinary;common	еще; все еще; подобно
仲	なか	naka	relation;relationship	отношение; отношения
流す	ながす	nagasu	to drain;to float;to shed (blood; tears);to cruise (e.g. taxi)	лить; проливать (кровь; слезы)
	なかなか	nakanaka	very;considerably;easily	очень; значительно;
半ば	なかば	nakaba	middle;half;semi;halfway;partly	половина; полу-
仲間	なかま	nakama	company;fellow;colleague;associate	сотрудник; коллега; товарищ
眺め	ながめ	nagame	scene;view;prospect;outlook	сцена; вид; перспектива; прогноз
眺める	ながめる	nagameru	to view;to gaze at	наблюдать; смотреть на
流れ	ながれ	nagare	stream;current	поток
流れる	ながれる	nagareru	to stream;to flow;to run (ink);to be washed away	течь; плыть
無し	なし	nashi	without	без
	なぜなら	nazenara	because	потому что
謎	なぞ	nazo	riddle;puzzle;enigma	загадка; головоломка
納得	なっとく	nattoku	consent;assent;understanding	согласие; понимание
等	など	nado	et cetera;etc.;and the like	и т.д.
何か	なにか	nanika	something	что-то
	なにも	nanimo	nothing	ничего
鍋	なべ	nabe	saucepan;pot	кастрюля; горшок
生	なま	nama	(1) draft (beer);(2) raw;unprocessed	сырой; необработанный
怠ける	なまける	namakeru	to be idle;to neglect	сидеть сложа руки; пренебрегать
波	なみ	nami	wave	волна
涙	なみだ	namida	tear	слеза
悩む	なやむ	nayamu	to be worried;to be troubled	страдать; мучиться
為る/成る	なる	naru	to become	стать
縄	なわ	nawa	rope;hemp	веревка
何で	なんで	nande	Why?;What for?	почему? зачем?
何でも	なんでも	nandemo	by all means;everything	всеми средствами
何とか	なんとか	nantoka	somehow;anyhow;one way or another	как-то; так или иначе
似合う	にあう	niau	to suit;to match;to become;to be like	соответствовать; быть к лицу
匂い	におい	nioi	odour;scent;smell;stench	запах
苦手	にがて	nigate	poor (at);weak (in);dislike (of)	слабое место
握る	にぎる	nigiru	to grasp;to seize;to mould sushi	держать в руке
日	にち	nichi	sun;sunshine;day	солнце; день
日常	にちじょう	nichijou	ordinary;regular;everyday;usual	повседневность; регулярно; обычно
日曜	にちよう	nichiyou	Sunday	воскресенье
日光	にっこう	nikkou	sunlight	солнечный свет
日中	にっちゅう	nicchuu	daytime;broad daylight	день
	にっこり	nikkori	smile sweetly;smile;grin	улыбаться
入院	にゅういん	nyuuin	hospitalization	госпитализация
入学	にゅうがく	nyuugaku	entry to school or university;matriculation	поступление в школу или университет
入場	にゅうじょう	nyuujou	entrance;admission;entering	вход; вход; ввода
人気	にんき	ninki	sign of life	популярность; успех
人間	にんげん	ningen	human being;man;person	человеческое существо; человек
抜く	ぬく	nuku	to extract;to omit;to surpass;to draw out;to unplug	извлекать; вытягивать; отключать
抜ける	ぬける	nukeru	to come out;to fall out;to be omitted	выпадать; выниматься; не хватать
布	ぬの	nuno	cloth	ткань
濡れる	ぬれる	nureru	to get wet	промокать
	ね	ne	value;price;cost;worth;merit	значение; цена; стоимость; стоит; заслуга
根	ね	ne	root	корень
値	ね	ne	value;price;cost	значение; цена; стоимость
願い	ねがい	negai	desire;wish;request	желание; запрос
願う	ねがう	negau	to desire;to wish;to request	желать; просить
鼠	ねずみ	nezumi	(1) mouse;rat;(2) dark gray;slate color	мышь; крыса; темно-серый
値段	ねだん	nedan	price;cost	цена; стоимость
熱心	ねっしん	nesshin	zeal;enthusiasm	рвение; энтузиазм
熱帯	ねったい	nettai	tropics	тропики
熱中	ねっちゅう	necchuu	nuts!;enthusiasm;zeal;mania	энтузиазм; рвение; мания
年間	ねんかん	nenkan	year	год
年月	ねんげつ	nengetsu	months and years	месяцы и годы
年中	ねんじゅう	nenjuu	whole year;always;everyday	целый год; всегда; каждый день
年代	ねんだい	nendai	age;era;period;date	возраст; эра; период; дата
年齢	ねんれい	nenrei	age;years	возраст; лет
野	の	no	field	поле
能	のう	nou	being skilled in;nicely;properly	способности
農家	のうか	nouka	farmer;farm family	фермер
農業	のうぎょう	nougyou	agriculture	сельское хозяйство
農民	のうみん	noumin	farmers;peasants	фермеры; крестьяне
能力	のうりょく	nouryoku	ability;faculty	способность; возможность
	ノー	no	no	нет
軒	のき	noki	eaves	карниз
残す	のこす	nokosu	to leave (behind; over);to bequeath;to save;to reserve	оставлять; завещать; сохранять
残り	のこり	nokori	remnant;residue;remaining;left-over	остаток
乗せる	のせる	noseru	to place on (something);to take on board;to give a ride	сажать (пассажиров); класть; ставить
除く	のぞく	nozoku	to remove;to exclude;to except	удалять; исключять
望み	のぞみ	nozomi	wish;desire;(a) hope	желание; надежда
望む	のぞむ	nozomu	to desire;to wish for;to see;to command (a view of)	желать
後	のち	nochi	afterwards;since then;in the future	потом; с тех пор; в будущем
